type,end,end1,end2,grammar,endlen
.m.,a,o,o,.m.$.sg.$.nom.,1
.m.,a,a,a,.m.$.sg.$.voc.,1
.m.,a,ā,ā,.m.$.sg.$.voc.,1
.m.,a,aṃ,ṃ,.m.$.sg.$.acc.,1
.m.,a,assa,sa,.m.$.sg.$.gen.,1
.m.,a,assa,sa,.m.$.sg.$.dat.,1
.m.,a,āya,āya,.m.$.sg.$.dat.,1
.m.,a,ena,na,.m.$.sg.$.inst.,1
.m.,a,ā,ā,.m.$.sg.$.abl.,1
.m.,a,asmā,smā,.m.$.sg.$.abl.,1
.m.,a,amhā,mhā,.m.$.sg.$.abl.,1
.m.,a,ato,to,.m.$.sg.$.abl.,1
.m.,a,e,i,.m.$.sg.$.loc.,1
.m.,a,asmiṃ,smiṃ,.m.$.sg.$.loc.,1
.m.,a,amhi,mhi,.m.$.sg.$.loc.,1
.m.,a,ā,a,.m.$.pl.$.nom.,1
.m.,a,āse,āse,.m.$.pl.$.nom.,1
.m.,a,ā,a,.m.$.pl.$.voc.,1
.m.,a,e,e,.m.$.pl.$.acc.,1
.m.,a,ānaṃ,naṃ,.m.$.pl.$.gen.,1
.m.,a,ānaṃ,naṃ,.m.$.pl.$.dat.,1
.m.,a,ehi,hi,.m.$.pl.$.inst.,1
.m.,a,ebhi,bhi,.m.$.pl.$.inst.,1
.m.,a,ehi,hi,.m.$.pl.$.abl.,1
.m.,a,ebhi,bhi,.m.$.pl.$.abl.,1
.m.,a,esu,su,.m.$.pl.$.loc.,1
.nt.,a,aṃ,ṃ,.nt.$.sg.$.nom.,1
.nt.,a,a,a,.nt.$.sg.$.voc.,1
.nt.,a,aṃ,ṃ,.nt.$.sg.$.acc.,1
.nt.,a,assa,sa,.nt.$.sg.$.gen.,1
.nt.,a,assa,sa,.nt.$.sg.$.dat.,1
.nt.,a,āya,āya,.nt.$.sg.$.dat.,1
.nt.,a,ena,na,.nt.$.sg.$.inst.,1
.nt.,a,ā,ā,.nt.$.sg.$.abl.,1
.nt.,a,asmā,smā,.nt.$.sg.$.abl.,1
.nt.,a,amhā,mhā,.nt.$.sg.$.abl.,1
.nt.,a,ato,to,.nt.$.sg.$.abl.,1
.nt.,a,e,i,.nt.$.sg.$.loc.,1
.nt.,a,asmiṃ,smiṃ,.nt.$.sg.$.loc.,1
.nt.,a,amhi,mhi,.nt.$.sg.$.loc.,1
.nt.,a,āni,ni,.nt.$.pl.$.nom.,1
.nt.,a,ā,a,.nt.$.pl.$.nom.,1
.nt.,a,āni,ni,.nt.$.pl.$.voc.,1
