id,lang,sn,word_en,word,word2,note
245,my,14,a,a,A,a：အ<br>  ဘူ+စု = ဂတိ ပူဇာ ဝိသေသေသု-သွားခြင်း，ပူဇော်ခြင်း，အထူးပြုခြင်းတို့၌။ အဉ္စတိ၊ အဉ္စေတိ၊ အဉ္စယတိ။ အ-ဂတိယံ ပူဇာယဉ္စ အဗျတ္တသဒ္ဒေ စ၊ အဉ္စတိ။ ဝါစပ္ပတိ။,1,1
677,my,14,abba,abba,Abba,abba：အဗ္ဗ<br>  ဘူ = ဂုမ္ဗန ဟိံသာ ဂတီသု-အပေါင်းအစုပြုခြင်း，ညှဉ်းဆဲခြင်း，သွားခြင်းတို့၌။ အဗ္ဗတိ။,4,1
748,my,14,abbha,abbha,Abbha,abbha：အဗ႓<br>  ဘူ = ဂတိယံ-သွားခြင်း၌၊ အဗ႓တိ။,5,1
2930,my,14,abhi,abhi,Abhi,abhi：အဘိ<br>  ဘူ = သဒ္ဒေ-အသံပြုခြင်း၌။ အမ႓တိ။,4,1
10035,my,14,abi,abi,Abi,abi：အဗိ<br>  ဘူ = သဒ္ဒ ရက္ခဿာဒ ဂတီသု-အသံပြုခြင်း，စောင့်ရှောက်ခြင်း，သာယာခြင်း，သွားခြင်းတို့၌။ အမ္ဗတိ။,3,1
11342,my,14,acca,acca,Acca,acca：အစ္စ<br>  ဘူ+စု = ပူဇာယံ-ပူဇော်ခြင်း၌။ အစ္စတိ၊ အစ္စေတိ၊ အစ္စယတိ။,4,1
11852,my,14,accha,accha,Accha,accha：အစ္ဆ<br>  ဘူ = ဒဿန ဗျာပနေသု-ကြည့်ရှုခြင်း，ပျံ့နှံ့ခြင်းတို့၌။ အစ္ဆတိ။,5,1
12772,my,14,achi,achi,Achi,achi：အဆိ<br>  ဘူ = အာယာမေ-ရှည်လျားကျယ်ပြန့်အောင်ဆွဲငင်ခြင်း၌။ အဉ္ဆတိ။,4,1
12773,my,14,aci,aci,Aci,aci：အစိ<br>  ဘူ+စု = ဂတိ ပူဇာ ဝိသေသေသု-သွားခြင်း，ပူဇော်ခြင်း，အထူးပြုခြင်းတို့၌။ အဉ္စတိ၊ အဉ္စေတိ၊ အဉ္စယတိ။ အ-ဂတိယံ ပူဇာယဉ္စ အဗျတ္တသဒ္ဒေ စ၊ အဉ္စတိ။ ဝါစပ္ပတိ။,3,1
13145,my,14,ada,aḍa,Aḍa,aḍa：အဍ<br>  ဘူ = ဥယျာမေ-အားထုတ်ကြိုးစားခြင်း၌။ အဍတိ။<br>  သွာ = ဗျာပနေ-ပျံ့နှံ့ခြင်း၌။ အဍဏောတိ။,3,1
13154,my,14,ada,ada,Ada,ada：အဒ<br>  ဘူ = ဘက္ခန ရက္ခဏေသု- စားခြင်း，စောင့်ရှောက်ခြင်းတို့၌။ အဒတိ၊ အဒေတိ။,3,1
13705,my,14,adda,aḍḍa,Aḍḍa,aḍḍa：အဍ္ဍ<br>  ဘူ = အဘိယောဂ အတိက္ကမ ဟိံသာ သမာဓာနေသု-တရားတွေ့ခြင်း，လွန်ခြင်း，ညှဉ်းဆဲခြင်း，ကောင်းစွာထားခြင်းတို့၌။ အဍ္ဍတိ။,4,1
13721,my,14,adda,adda,Adda,adda：အဒ္ဒ<br>  ဘူ = ဂတိ အာယာစန တာဠေသု-သွားခြင်း，တောင်းခြင်း，ပုတ်ခတ်ခြင်းတို့၌။ အဒ္ဒတိ။<br>  စု = ဟိံသာယံ-ညှင်းဆဲခြင်း၌။ အဒ္ဒေတိ၊ အဒ္ဒယတိ။,4,1
17124,my,14,adi,aḍi,Aḍi,aḍi：အဍိ<br>  ဘူ = အဏ္ဍတေ-ဥကို အုခြင်း၌၊ အဏ္ဍတိ။,3,1
