id,word,type,grammar,parent,mean,note,factors,factormean,status,confidence,strlen,source,language
1,ababa,.n:base.,.m.,,[八寒地獄之一],m. アババ(ababa的片假名發音),,,1,80,5,shuihan,zh-hant
2,abaddha,.adj.,,," 不被結縛的$流動的$",a.,[a-baddha],,1,80,7,shuihan,zh-hant
3,ābaddha,,,ābandhati," 結縛(綁結)$勒(束)緊$使勁用力綁結$",.pp.,,,1,80,7,shuihan,zh-hant
4,ābādha,.n:base.,.m.,," 病$生病$疾$",m.,[〃＜ā-bādh],,1,80,6,shuihan,zh-hant
5,ābādheti,,,," 使苦(煩)惱$使痛苦$折磨$"," ",[ā-bādh 的 caus.],,1,80,8,shuihan,zh-hant
6,ābādhika,.adj.,,,$f$ābādhikinī 生病的$患病憂慮苦惱的$,a.,[ābādha-ika],,1,80,8,shuihan,zh-hant
7,ābādhita,,,ābādheti," 已苦惱的",.pp.,,,1,80,8,shuihan,zh-hant
8,abajjhare,,,,,bajjhati," ",,1,80,9,shuihan,zh-hant
9,abala,.adj.,,," 無力的$弱的$",a.,[a-bala],,1,80,5,shuihan,zh-hant
10,abalaassa,.n:base.,,," 弱的馬$駑馬$",_comp_,abala+assa,,1,80,9,shuihan,zh-hant
11,ābandhaka,.adj.,,,,a.," ",,1,80,9,shuihan,zh-hant
12,abandhana,.adj.,,," 無結縛的$",a.,[a-bandana],,1,80,9,shuihan,zh-hant
13,ābandhana,,,,,n.," ",,1,80,9,shuihan,zh-hant
14,ābandhati,,,," 結縛(綁結)$勒(束)緊$使勁用力綁結$"," ",[ā-bandh],,1,80,9,shuihan,zh-hant
15,abbaha,,,abbahati," 拔出(刺$飛鏢等)$",【imper】,,,1,80,6,shuihan,zh-hant
16,abbahati,,,," 拔出(刺$飛鏢等)$"," ",[Sk. ābṛhati],,1,80,8,shuihan,zh-hant
17,abbahe,,,abbahati," 拔出(刺$飛鏢等)$",.opt.,,,1,80,6,shuihan,zh-hant
18,abbāheti,,,," 拔出(刺$飛鏢等)$",【caus】,abbahati,,1,80,8,shuihan,zh-hant
19,abbahi,,,," 拔出(刺$飛鏢等)$",【aor】,abbahati,,1,80,6,shuihan,zh-hant
20,abbahī,,,," 拔出(刺$飛鏢等)$",【aor】,abbahati,,1,80,6,shuihan,zh-hant
21,abbāhitvā,,,abbahati," 拔出(刺$飛鏢等)$",【ger】,,,1,80,9,shuihan,zh-hant
22,abbata,.adj.,,," 無禁戒的$不戒的$",a.,[a-vata% Sk. avrata],,1,80,6,shuihan,zh-hant
23,abbatṇa,.adj.,,," 無傷的$",a.,[a-vaṇa],,1,80,7,shuihan,zh-hant
24,abbha,,,," 天空$雲$霧$",【cf】,nabha,,1,80,5,shuihan,zh-hant
25,abbha,.n:base.,.f.,," 雲$黑雲$",n.% abbhā f.,[Sk. abhra],,1,80,5,shuihan,zh-hant
26,abbhācikkhati,,,," 非難$誹謗$"," ",[abbhakkhāti 的強(調)意],,1,80,13,shuihan,zh-hant
27,abbhāgamana,,,," 到着$接近$",n.,[abhi-ā-gamana],,1,80,11,shuihan,zh-hant
28,abbhāgata,.adj.,,," 到來的$來客$",a. n.,[abhi-ā-gata],,1,80,9,shuihan,zh-hant
29,abbhaghana,.n:base.,,," 層雲$",_comp_,abbha+ghana,,1,80,10,shuihan,zh-hant
30,abbhāghāta,.n:base.,.m.,," 屠殺場$",m.,[abhi-āghāta],,1,80,10,shuihan,zh-hant
31,abbhāhata,.adj.,,," 已受打撃的$已被(傷)害的$已被逼苦(煩)惱的$",a.,[abhi-ā-hata],,1,80,9,shuihan,zh-hant
32,abbhakkhāna,,,," 誹謗$毀呰$",n.,[＜abbhakkhāti],,1,80,11,shuihan,zh-hant
33,abbhakkhāti,,,," 誹謗$中傷$"," ",[abhi-ā-khyā],,1,80,11,shuihan,zh-hant
34,abbhākuṭika,.adj.,,," 不皺眉的$無(皺眉)不高興臉色的$",a.,[a-bhākuṭi-ka],,1,80,11,shuihan,zh-hant
35,abbhāmatta,.adj.,,," 莫大(巨大)的$狀大(形狀龐大)的$",a.,[abbhā-matta],,1,80,10,shuihan,zh-hant
36,abbhamutta,.n:base.,,," 已離(開)雲$",_comp_,abbha+mutta,,1,80,10,shuihan,zh-hant
37,abbhāna,,,," 使復權(恢復原狀)$使出罪$",【cf】,abbheti,,1,80,7,shuihan,zh-hant
38,abbhāna,,,," 出罪$容許$復歸(恢復原狀)$",n.,[abhi-āyāna],,1,80,7,shuihan,zh-hant
39,abbhañjana,,,," 塗油$注(入)油$塗藥$",n.,[＜abbhañjati],,1,80,10,shuihan,zh-hant
40,abbhañjāpeti,,,," 塗油$注(入)油$塗藥$",【caus】,abbhañjati,,1,80,12,shuihan,zh-hant
41,abbhañjati,,,," 塗油$注(入)油$塗藥$"," ",[abhi-añjati],,1,80,10,shuihan,zh-hant
42,abbhañjeti,,,," 塗油$注(入)油$塗藥$",【caus】,abbhañjati,,1,80,10,shuihan,zh-hant
43,abbhantara,.adj.,,,14肘(腕尺)$,a. n.,[長度的測量]$,,1,80,10,shuihan,zh-hant
44,abbhanumodati,,,," 大大地(非常)隨喜$"," ",[abhi-anu-modati],,1,80,13,shuihan,zh-hant
45,abbhasaṃvilāpa,.n:base.,,," 雷鳴$",_comp_,abbha+saṃvilāpa,,1,80,14,shuihan,zh-hant
46,abbhatika,.adj.,,," 被導引帶領的$被得(到)的$",a.,[ā-bhata-ika],,1,80,9,shuihan,zh-hant
47,abbhatikkanta,.adj.,,," 已過去的$已消逝消失的$",a.,[abhi-ati-kram 的 pp.],,1,80,13,shuihan,zh-hant
48,abbhatīta,.adj.,,," 已過去的$已死去的$已超越的$",a.,[abhi-ati-i 的 pp.],,1,80,9,shuihan,zh-hant
49,abbhattha,,,," = attha$②$abbhatthaṃ gacchati 滅没$",n.,[abhi-attha ],,1,80,9,shuihan,zh-hant
50,abbhenta,,,abbheti," 使復權(恢復原狀)$使出罪$",【ppr】,,,1,80,8,shuihan,zh-hant
51,abbhetabba,,,abbheti," 使復權(恢復原狀)$使出罪$",【grd】,,,1,80,10,shuihan,zh-hant
52,abbheti,,,," 使復權(恢復原狀)$使出罪$"," ",[abhi-ā-i],,1,80,7,shuihan,zh-hant
53,abbheyya,,,abbheti," 使復權(恢復原狀)$使出罪$",【grd】,,,1,80,8,shuihan,zh-hant
54,abbhita,.adj.,,," 已出罪的$已復歸(恢復原狀)的$",a.,[abbheti 的 pp.],,1,80,7,shuihan,zh-hant
55,abbhita,,,abbheti," 使復權(恢復原狀)$使出罪$",.pp.,,,1,80,7,shuihan,zh-hant
56,abbhocchinna,.adj.,,," 不被切斷的$連續的$",a.,[a-vi-ava-chinna],,1,80,12,shuihan,zh-hant
57,abbhohārika,,,,,=," ",,1,80,11,shuihan,zh-hant
58,abbhokāsa,.n:base.,.m.,," 露地$野天$屋外$野外$",m.,[abhi-avakāsa. 【cf】ajjhokāsa],,1,80,9,shuihan,zh-hant
59,abbhokāsika,.n:base.,.m.,," 露地住者$",m.,[＜abbhokāsa],,1,80,11,shuihan,zh-hant
60,abbhokāsikaaṅga,.n:base.,,," 露地住支$",_comp_,abbhokāsika+aṅga,,1,80,15,shuihan,zh-hant
61,abbhokiṇṇa,.adj.,,," abbhocchinna]$已充滿的$已被破壞的$",a.,[abhi-avakiṇṇa.【cf】,,1,80,10,shuihan,zh-hant
62,abbhokiṇṇa,,,abbhokirati," 撒布$鋪(上)$覆(蓋)$",.pp.,,,1,80,10,shuihan,zh-hant
63,abbhokiraṇa,,,," 撒布$鋪(上)$覆(蓋)$",【cf】,abbhokirati,,1,80,11,shuihan,zh-hant
64,abbhokirati,,,," 撒布$鋪(上)$覆(蓋)$"," ",[abhi-ava-kirati],,1,80,11,shuihan,zh-hant
65,abbhokkirati,,,," 撒布$注(灌$倒)入$",【cf】,abbhukkirati,,1,80,12,shuihan,zh-hant
66,abbhudāharati,,,," (把話)帶去$開始談話$"," ",[abhi-ud-ā-harati],,1,80,13,shuihan,zh-hant
67,abbhudayaṃ,,,abbhudeti," 上升$上漲$升高$出去$出外$",【ppr】,,,1,80,10,shuihan,zh-hant
68,abbhudeti,,,," 上升$上漲$升高$出去$出外$"," ",[abhi-ud-eti],,1,80,9,shuihan,zh-hant
69,abbhudīreti,,,," 提高聲音$(出聲)發言$"," ",[abhi-ud-īreti],,1,80,11,shuihan,zh-hant
70,abbhuggacchati,,,," 上升$上漲$升高$"," ",[abhi-ud-gacchati],,1,80,14,shuihan,zh-hant
