id,book,par_num,level,class,title,text,tran
203443,104,3,1,book,(DN) Mahāvaggaṭṭhakathā,大品注,庄春江
203444,104,4,2,chapter,1. Mahāpadānasuttavaṇṇanā,14、譬喻大经注,庄春江
203512,104,72,4,subhead,Bodhisattadhammatāvaṇṇanā,菩萨常法注,庄春江
203561,104,121,4,subhead,Dvattiṃsamahāpurisalakkhaṇavaṇṇanā,三十二大丈夫相注,庄春江
203600,104,160,4,subhead,Vipassīsamaññāvaṇṇanā,毗婆尸的称呼注,庄春江
203611,104,171,4,subhead,Jiṇṇapurisavaṇṇanā,老年人注,庄春江
203615,104,175,4,subhead,Byādhipurisavaṇṇanā,病人注,庄春江
203617,104,177,4,subhead,Kālaṅkatapurisavaṇṇanā,死人注,庄春江
203619,104,179,4,subhead,Pabbajitavaṇṇanā,出家注,庄春江
203621,104,181,4,subhead,Bodhisattapabbajjāvaṇṇanā,菩萨出家注,庄春江
203628,104,188,4,subhead,Mahājanakāyaanupabbajjāvaṇṇanā,大群众跟随出家注,庄春江
203636,104,196,4,subhead,Bodhisattaabhivesavaṇṇanā,菩萨-上安住注,庄春江
203659,104,219,4,subhead,Brahmayācanakathāvaṇṇanā,梵天劝请的谈说注,庄春江
203686,104,246,4,subhead,Aggasāvakayugavaṇṇanā,最上双弟子注,庄春江
203698,104,258,4,subhead,Mahājanakāyapabbajjāvaṇṇanā,大群众的出家注,庄春江
203715,104,275,4,subhead,Devatārocanavaṇṇanā,天神的告示注,庄春江
203722,104,282,2,chapter,2. Mahānidānasuttavaṇṇanā,15、大因缘经注,庄春江
203783,104,343,4,subhead,Paṭiccasamuppādavaṇṇanā,缘起注,庄春江
203806,104,366,4,subhead,Attapaññattivaṇṇanā,真我之安立注,庄春江
203811,104,371,4,subhead,Naattapaññattivaṇṇanā,真我之不安立注,庄春江
203813,104,373,4,subhead,Attasamanupassanāvaṇṇanā,真我之认为注,庄春江
203827,104,387,4,subhead,Sattaviññāṇaṭṭhitivaṇṇanā,七识住注,庄春江
203860,104,420,2,chapter,3. Mahāparinibbānasuttavaṇṇanā,16、大般涅槃经注,庄春江
203864,104,424,4,subhead,Rājaaparihāniyadhammavaṇṇanā,国王-不衰退法注,庄春江
203881,104,441,4,subhead,Bhikkhuaparihāniyadhammavaṇṇanā,比丘-不衰退法注,庄春江
203934,104,494,4,subhead,Dussīlaādīnavavaṇṇanā,破戒（坏品德）的过患注,庄春江
203956,104,516,4,subhead,Ariyasaccakathāvaṇṇanā,圣谛的谈说注,庄春江
203958,104,518,4,subhead,Anāvattidhammasambodhiparāyaṇavaṇṇanā,不还者与以正觉为彼岸注,庄春江
203964,104,524,4,subhead,Dhammādāsadhammapariyāyavaṇṇanā,法镜法门注,庄春江
203969,104,529,4,subhead,Ambapālīgaṇikāvatthuvaṇṇanā,艺妓蓭婆巴利注,庄春江
203975,104,535,4,subhead,Veḷuvagāmavassūpagamanavaṇṇanā,在木瓜树村进入雨季安居注,庄春江
203984,104,544,4,subhead,Nimittobhāsakathāvaṇṇanā,征相与暗示的谈说注,庄春江
204003,104,563,4,subhead,Mārayācanakathāvaṇṇanā,魔请求的谈说注,庄春江
204008,104,568,4,subhead,Āyusaṅkhāraossajjanavaṇṇanā,寿行的舍弃注,庄春江
204013,104,573,4,subhead,Mahābhūmicālavaṇṇanā,大地震的原因注,庄春江
204025,104,585,4,subhead,Aṭṭhaparisavaṇṇanā,八众注,庄春江
204028,104,588,4,subhead,Aṭṭhaabhibhāyatanavaṇṇanā,八胜处注,庄春江
204037,104,597,4,subhead,Aṭṭhavimokkhavaṇṇanā,八解脱注,庄春江
204041,104,601,4,subhead,Ānandayācanakathā,阿难请求的谈说注,庄春江
204047,104,607,4,subhead,Nāgāpalokitavaṇṇanā,龙象回顾注,庄春江
204051,104,611,4,subhead,Catumahāpadesavaṇṇanā,四大法教注,庄春江
204064,104,624,4,subhead,Kammāraputtacundavatthuvaṇṇanā,铁匠之子纯陀的事注,庄春江
204069,104,629,4,subhead,Pānīyāharaṇavaṇṇanā,取水注,庄春江
204071,104,631,4,subhead,Pukkusamallaputtavatthuvaṇṇanā,末罗人之子晡古色的事注,庄春江
204087,104,647,4,subhead,Yamakasālāvaṇṇanā,双沙罗树注,庄春江
204114,104,674,4,subhead,Upavāṇattheravaṇṇanā,优波哇那上座注,庄春江
204123,104,683,4,subhead,Catusaṃvejanīyaṭhānavaṇṇanā,四个能激起宗教信仰心之处注,庄春江
204129,104,689,4,subhead,Ānandapucchākathāvaṇṇanā,阿难问题的谈说注,庄春江
204137,104,697,4,subhead,Thūpārahapuggalavaṇṇanā,值得领受塔的人注,庄春江
204139,104,699,4,subhead,Ānandaacchariyadhammavaṇṇanā,阿难的未曾有法注,庄春江
204147,104,707,4,subhead,Mahāsudassanasuttadesanāvaṇṇanā,大善见经的教导注,庄春江
204153,104,713,4,subhead,Mallānaṃ vandanāvaṇṇanā,末罗人的礼拜注,庄春江
204155,104,715,4,subhead,Subhaddaparibbājakavatthuvaṇṇanā,游行者须跋陀的事注,庄春江
204166,104,726,4,subhead,Tathāgatapacchimavācāvaṇṇanā,如来最后的话注,庄春江
204178,104,738,4,subhead,Parinibbutakathāvaṇṇanā,般涅槃的谈说注,庄春江
204191,104,751,4,subhead,Buddhasarīrapūjāvaṇṇanā,世尊遗体供养注,庄春江
204198,104,758,4,subhead,Mahākassapattheravatthuvaṇṇanā,大迦叶的事注,庄春江
204225,104,785,4,subhead,Sarīradhātuvibhajanavaṇṇanā,遗骨塔的尊敬注,庄春江
204257,104,817,2,chapter,4. Mahāsudassanasuttavaṇṇanā,17、大善见经注,庄春江
204258,104,818,4,subhead,Kusāvatīrājadhānīvaṇṇanā,咕萨瓦帝王都注,庄春江
204262,104,822,4,subhead,Cakkaratanavaṇṇanā,轮宝注,庄春江
204289,104,849,4,subhead,Hatthiratanavaṇṇanā,象宝注,庄春江
204292,104,852,4,subhead,Assaratanavaṇṇanā,马宝注,庄春江
204294,104,854,4,subhead,Maṇiratanavaṇṇanā,珠宝注,庄春江
204296,104,856,4,subhead,Itthiratanavaṇṇanā,女宝注,庄春江
204304,104,864,4,subhead,Gahapatiratanavaṇṇanā,屋主宝注,庄春江
204306,104,866,4,subhead,Pariṇāyakaratanavaṇṇanā,主兵臣宝注,庄春江
204309,104,869,4,subhead,Catuiddhisamannāgatavaṇṇanā,具备四种成就注,庄春江
204311,104,871,4,subhead,Dhammapāsādapokkharaṇivaṇṇanā,达摩宫殿的莲花池注,庄春江
204323,104,883,4,subhead,Bodhisattapubbayogavaṇṇanā,到达禅注,庄春江
