book,paragraph,level,title,tag
1,2,1,namakkārapāḷi,:añña::buddha-vandanā ganthasaṅgaha::namakkārapāḷi::namakkāra:
1,159,1,namakkāraṭīkā,:añña::ṭīkā::buddha-vandanā ganthasaṅgaha::namakkāraṭīkā::namakkāra:
2,2,1,mahāpaṇāmapāṭha,:añña::buddha-vandanā ganthasaṅgaha::mahāpaṇāmapāṭha:
2,428,1,tigumbacetiya thomanā,:añña::buddha-vandanā ganthasaṅgaha::mahāpaṇāmapāṭha:
2,479,1,vāsamālinīkya,:añña::buddha-vandanā ganthasaṅgaha::mahāpaṇāmapāṭha:
3,2,1,lakkhaṇāto,:añña::buddha-vandanā ganthasaṅgaha::lakkhaṇāto:
3,3,2,buddhathomanāgāthā,:añña::buddha-vandanā ganthasaṅgaha::lakkhaṇāto:
3,268,2,buddhavandanā,:añña::buddha-vandanā ganthasaṅgaha::lakkhaṇāto:
3,304,2,uṇṇālomikanātha vandanā,:añña::buddha-vandanā ganthasaṅgaha::lakkhaṇāto:
4,2,1,suttavandanā,:añña::buddha-vandanā ganthasaṅgaha::suttavandanā:
5,2,1,jinālaṅkāra,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,3,2,paṇāmadīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,12,2,yogāvacarasampattidīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,16,2,vatthuvisodhanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,30,2,anaññasādhāraṇadīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,65,2,abhinīhāradīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,114,2,bodhisambhāradīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,160,2,gabbhokkantidīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,173,2,vijāyanamaṅgaladīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,220,2,agāriyasampattidīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,232,2,nekkhammajjhāsayadīpanīyamakagāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
5,314,2,pāduddhāravimhayadīpanīgāthā,:añña::buddha-vandanā ganthasaṅgaha::jinālaṅkāra:
