title1,title2,bookname,volume
abhi，dha,အဘိ၊ဓ,dhammasaṅgaṇīpāḷi,0
abhi，ka,အဘိ၊က,kathāvatthupāḷi,0
abhi，pu,အဘိ၊ပု,puggalapaññattipāḷi,0
abhi，ṭṭha，1,အဘိ၊ဋ္ဌ၊၁,dhammasaṅgaṇī-aṭṭhakathā,0
abhi，ṭṭha，2,အဘိ၊ဋ္ဌ၊၂,vibhaṅga-aṭṭhakathā,0
abhi，ṭṭha，3,အဘိ၊ဋ္ဌ၊၃,pañcapakaraṇa-aṭṭhakathā,0
abhi，vi,အဘိ၊ဝိ,vibhaṅgapāḷi,0
aṃ，1,အံ၊၁,aṅguttaranikāya,1
aṃ，2,အံ၊၂,aṅguttaranikāya,2
aṃ，3,အံ၊၃,aṅguttaranikāya,3
aṃ，ṭī，1,အံ၊ဋီ၊၁,aṅguttaranikāya-ṭīkā,1
aṃ，ṭī，2,အံ၊ဋီ၊၂,aṅguttaranikāya-ṭīkā,2
aṃ，ṭī，3,အံ၊ဋီ၊၃,aṅguttaranikāya-ṭīkā,3
aṃ，ṭṭha，1,အံ၊ဋ္ဌ၊၁,aṅguttaranikāya-aṭṭhakathā,1
aṃ，ṭṭha，2,အံ၊ဋ္ဌ၊၂,aṅguttaranikāya-aṭṭhakathā,2
aṃ，ṭṭha，3,အံ၊ဋ္ဌ၊၃,aṅguttaranikāya-aṭṭhakathā,3
anuṭī，2,အနုဋီ၊၂,vibhaṅga-anuṭīkā,0
anuṭī，3,အနုဋီ၊၃,pañcapakaraṇa-anuṭīkā,0
apa，1,အပ၊၁,therāpadānapāḷi,1
apa，2,အပ၊၂,therāpadānapāḷi,2
apa，ṭṭha，1,အပ၊ဋ္ဌ၊၁,apadāna-aṭṭhakathā,1
apa，ṭṭha，2,အပ၊ဋ္ဌ၊၂,apadāna-aṭṭhakathā,2
buddhavaṃ，ṭṭha,ဗုဒ္ဓဝံ၊ဋ္ဌ,buddhavaṃsa-aṭṭhakathā,0
cariyā，ṭṭha,စရိယာ၊ဋ္ဌ,cariyāpiṭaka-aṭṭhakathā,0
cūḷani,စူဠနိ,cūḷaniddesapāḷi,0
cūḷani，ṭṭha,စူဠနိ၊ဋ္ဌ,cūḷaniddesa-aṭṭhakathā,0
dhamma,ဓမ္မ,dhammapadapāḷi,0
dhamma，ṭṭha，1,ဓမ္မ၊ဋ္ဌ၊၁,dhammapada-aṭṭhakathā,1
dhamma，ṭṭha，2,ဓမ္မ၊ဋ္ဌ၊၂,dhammapada-aṭṭhakathā,2
dī，1,ဒီ၊၁,dīghanikāya,1
dī，2,ဒီ၊၂,dīghanikāya,2
dī，3,ဒီ၊၃,dīghanikāya,3
dī，ṭī，1,ဒီ၊ဋီ၊၁,dīghanikāya-ṭīkā,1
dī，ṭī，2,ဒီ၊ဋီ၊၂,dīghanikāya-ṭīkā,2
dī，ṭī，3,ဒီ၊ဋီ၊၃,dīghanikāya-ṭīkā,3
dī，ṭṭha，1,ဒီ၊ဋ္ဌ၊၁,dīghanikāya-aṭṭhakathā,1
dī，ṭṭha，2,ဒီ၊ဋ္ဌ၊၂,dīghanikāya-aṭṭhakathā,2
dī，ṭṭha，3,ဒီ၊ဋ္ဌ၊၃,dīghanikāya-aṭṭhakathā,3
itivuta，ṭṭha,ဣတိဝုတ၊ဋ္ဌ,itivuttaka-aṭṭhakathā,0
jā，1,ဇာ၊၁,jātakapāḷi,1
jā，2,ဇာ၊၂,jātakapāḷi,2
jā，ṭṭha，1,ဇာ၊ဋ္ဌ၊၁,jātaka-aṭṭhakathā,1
jā，ṭṭha，2,ဇာ၊ဋ္ဌ၊၂,jātaka-aṭṭhakathā,2
jā，ṭṭha，3,ဇာ၊ဋ္ဌ၊၃,jātaka-aṭṭhakathā,3
jā，ṭṭha，4,ဇာ၊ဋ္ဌ၊၄,jātaka-aṭṭhakathā,4
jā，ṭṭha，5,ဇာ၊ဋ္ဌ၊၅,jātaka-aṭṭhakathā,5
jā，ṭṭha，6,ဇာ၊ဋ္ဌ၊၆,jātaka-aṭṭhakathā,6
jā，ṭṭha，7,ဇာ၊ဋ္ဌ၊၇,jātaka-aṭṭhakathā,7
jātaka，1,ဇာတက၊၁,jātakapāḷi,1
jātaka，2,ဇာတက၊၂,jātakapāḷi,2
khuddaka,ခုဒ္ဒက,khuddakapāṭhapāḷi,0
khuddaka，ṭṭha,ခုဒ္ဒက၊ဋ္ဌ,khuddakapāṭha-aṭṭhakathā,0
ma，1,မ၊၁,majjhimanikaya,1
ma，2,မ၊၂,majjhimanikaya,2
ma，3,မ၊၃,majjhimanikaya,3
ma，ṭī，1,မ၊ဋီ၊၁,majjhimanikaya-ṭīkā,1
ma，ṭī，2,မ၊ဋီ၊၂,majjhimanikaya-ṭīkā,2
ma，ṭī，3,မ၊ဋီ၊၃,majjhimanikaya-ṭīkā,3
ma，ṭṭha，1,မ၊ဋ္ဌ၊၁,majimanikaya-aṭṭhakathā,1
ma，ṭṭha，2,မ၊ဋ္ဌ၊၂,majimanikaya-aṭṭhakathā,2
ma，ṭṭha，3,မ၊ဋ္ဌ၊၃,majimanikaya-aṭṭhakathā,3
ma，ṭṭha，4,မ၊ဋ္ဌ၊၄,majimanikaya-aṭṭhakathā,4
mahāni,မဟာနိ,mahāniddesapāḷi,0
mahāni，ṭṭha,မဟာနိ၊ဋ္ဌ,mahāniddesa-aṭṭhakathā,0
milinda,မိလိန္ဒ,milindapañhapāḷi,0
