a","b","c","","d","","e"
[,"ti","tuṃ",".v:ind.",".inf.","0.99",],
[,"ati","ituṃ",".v:ind.",".inf.","0.99",],
[,"ati","itvā",".v:ind.",".abs.","0.99",],
[,"ati","atvā",".v:ind.",".abs.","0.99",],
[,"ti","tvā",".v:ind.",".abs.","0.99",],
[,"ant","antā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"ant","antā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"ant","antā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"ant","anta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"ant","antā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"ant","anta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"ant","antā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"ant","anta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"ant","antā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"ant","anta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"ant","antā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"ant","antā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"ant","anta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"ant","antā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"ant","antaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"ant","antaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"ant","antaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"ant","antaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"ant","antaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"ant","antaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"ant","antamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"ant","antamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"ant","antamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"ant","antamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"ant","antamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"ant","antamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"ant","antamhi",".ti.",".m.$.sg.$.loc.","0.99",],
