"gramma","count"








dha.pa.,763
su.ni.,662



pārā.aṭṭha.2.,425
mahāva.aṭṭha.,398



pari.,357
paṭṭhā.,355
udā.,353
cūḷani.,346
apa.,340
netti.,324




itivu.,282

paṭṭhā.1.,243
dī.ni.ṭī.,242
vibha.aṭṭha.,237


paṭṭhā.1.1.,216


kathā.,193
dī.ni.aṭṭha.1.,192
dī.ni.aṭṭha.2.,131
pārā.aṭṭha.1.,180
a.ni.aṭṭha.,179
paṭi.ma.3.,175
dī.ni.ṭī.1.,174
theragā.,160
apa.thera1.,159

jā.1.1.,153
jā.2.22.,151
mi.pa.,151

bu.vaṃ.,139

khu.pā.,134
paṭi.ma.2.,132


sārattha.ṭī.2.,120
jā.1.15.,116
apa.thera2.,115
netti.aṭṭha.,112
su.ni.aṭṭha.,109
udā.aṭṭha.,108

a.ni.aṭṭha.1.,100
vi.va.,95
jā.aṭṭha.,95
dha.pa.aṭṭha.,95
a.ni.ṭī.,94
pu.pa.,94
a.ni.aṭṭha.1.1.,90
vi.vi.ṭī.1.,84
paṭi.ma.aṭṭha.,83
dī.ni.aṭṭha.3.,82
bu.vaṃ.2.,80
Savipākaṃ–,78
Avipākaṃ–,78
jā.1.10.,78
vi.vi.ṭī.mahāvagga2.,78
cariyā.,77
sārattha.ṭī.mahāvagga3.,77
pari.aṭṭha.,74
jā.1.2.,70
paṭṭhā.2.,69
a.ni.2.,67
ma.ni.aṭṭha.2.,67
peṭako.,65
apa.aṭṭha.,63
jā.1.4.,63
itivu.aṭṭha.,62
su.ni.aṭṭha.1.,61
saṃ.ni.ṭī.,60
pe.va.,59
jā.2.21.,55
sārattha.ṭī.pācittiya3.,54
dhātu.,54
mi.pa.2.,54
apa.therī2.,53
jā.2.17.,53
saṃ.ni.aṭṭha.2.,52
khu.pā.6.,48
a.ni.11.,47
paṭi.ma.aṭṭha.2.,46
vi.saṅga.aṭṭha.,46
theragā.aṭṭha.,46
saṃ.ni.aṭṭha.1.,46
mahāni.aṭṭha.,45
visuddhi.mahāṭī.,43
saṃ.ni.aṭṭha.3.,42
a.ni.aṭṭha.2.,42
saṃ.ni.aṭṭha.1.1.,41
paṭṭhā.3.,39
ma.ni.aṭṭha.3.,39
khu.pā.aṭṭha.,39
dī.ni.ṭī.2.,38
jā.1.7.,38
a.ni.aṭṭha.3.,37
mi.pa.4.,37
saṃ.ni.aṭṭha.2.2.,37
mi.pa.2.1.,36
jā.1.5.,36
a.ni.ṭī.2.,36
dha.pa.aṭṭha.1.,35
saṃ.ni.ṭī.1.,35
sārattha.ṭī.cūḷavagga3.,34
jā.1.16.,34
jā.1.13.,33
bu.vaṃ.aṭṭha.,33
paṭi.ma.aṭṭha.1.,32
a.ni.ṭī.3.,32
jā.1.3.,32
khu.pā.5.,31
paṭi.ma.aṭṭha.2.1.,30
saṃ.ni.aṭṭha.3.5.,30
jā.1.14.,30
vi.vi.ṭī.cūḷavagga2.,29
visuddhi.ṭī.,29
yama.3.indriyayamaka.,29
mi.pa.5.,29
su.ni.aṭṭha.2.,28
saṃ.ni.ṭī.1.1.,28
sārattha.ṭī.1.,27
