533678,en,33,_home_,_home_,_home_,[[Declensions]] of [[Noun]]  [[名詞]]之[[變格]]<br>[[Conjugations]] of [[Verb]]  [[動詞]]之[[變位]],,1
535293,zh-cn,33,-a,-ā,-ā,[[-ā]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[受格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[主格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[呼格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[受格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[主格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[呼格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[受格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[主格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[呼格]],,1
535294,zh-cn,33,-a,-a,-a,[[-a]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[呼格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[主格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[呼格]],,1
535295,zh-cn,33,-a,-ā,-ā,[[-ā]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[主格]]<br>[[陰性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[呼格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[來源格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[主格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[呼格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[來源格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[主格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[呼格]],,1
535296,zh-cn,33,-a,-a,-a,[[-a]]：[[動詞]]之[[變位]]<br>[[第一人稱]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[過去式]]<br>[[第三人稱]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[過去式]],,1
535297,zh-cn,33,-a,-ā,-ā,[[-ā]]：[[動詞]]之[[變位]]<br>[[第一人稱]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[過去式]]<br>[[第二人稱]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[過去式]]<br>[[第三人稱]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[過去式]],,1
535298,zh-cn,33,-abhi,-ābhi,-ābhi,[[-ābhi]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535299,zh-cn,33,-abhi,-ābhī,-ābhī,[[-ābhī]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535300,zh-cn,33,-ahi,-āhi,-āhi,[[-āhi]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535301,zh-cn,33,-ahi,-āhī,-āhī,[[-āhī]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535302,zh-cn,33,-am,-aṃ,-aṃ,[[-aṃ]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[主格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[呼格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[主格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[呼格]],,1
535303,zh-cn,33,-am,-aṃ,-aṃ,[[-aṃ]]：[[動詞]]之[[變位]]<br>[[第一人稱]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[過去式]],,1
535304,zh-cn,33,-amase,-āmase,-āmase,[[-āmase]]：[[動詞]]之[[變位]]<br>[[第一人稱]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[命令式]],,1
535305,zh-cn,33,-amha,-amhā,-amhā,[[-amhā]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[來源格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[來源格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[來源格]],,1
535306,zh-cn,33,-amhi,-amhi,-amhi,[[-amhi]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[處格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[處格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[處格]],,1
535307,zh-cn,33,-amhi,-amhī,-amhī,[[-amhī]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[處格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[處格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[處格]],,1
535308,zh-cn,33,-ana,-anā,-anā,[[-anā]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[來源格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[工具格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[工具格]],,1
535309,zh-cn,33,-anam,-ānaṃ,-ānaṃ,[[-ānaṃ]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[目的格]]<br>[[陰性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[屬格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[目的格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[屬格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[目的格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[屬格]],,1
535310,zh-cn,33,-anam,-anaṃ,-anaṃ,[[-anaṃ]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]],,1
535311,zh-cn,33,-anam,-ānaṃ,-ānaṃ,[[-ānaṃ]]：[[名詞]]之[[變格]]<br>[[陰性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]]<br>[[中性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[受格]],,1
535312,zh-cn,33,-ane,-ane,-ane,[[-ane]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[單數]]&nbsp;&nbsp;[[處格]],,1
535313,zh-cn,33,-anebhi,-anebhi,-anebhi,[[-anebhi]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535314,zh-cn,33,-anebhi,-anebhī,-anebhī,[[-anebhī]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535315,zh-cn,33,-anehi,-anehi,-anehi,[[-anehi]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535316,zh-cn,33,-anehi,-anehī,-anehī,[[-anehī]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[來源格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[工具格]],,1
535317,zh-cn,33,-anesu,-anesu,-anesu,[[-anesu]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[處格]],,1
535318,zh-cn,33,-anesu,-anesū,-anesū,[[-anesū]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[處格]],,1
535319,zh-cn,33,-ani,-āni,-āni,[[-āni]]：[[名詞]]之[[變格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[受格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[主格]]<br>[[陽性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[呼格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[受格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[主格]]<br>[[中性]]&nbsp;&nbsp;[[複數]]&nbsp;&nbsp;[[呼格]],,1
