提出日期,提交者,问题标题,模块,类别,紧急程度,责任人,完成情况,完成日期,详细描述details
2020-12-24,kosalla,拆粘音词关系失效,拆粘音词,bug,4,visuddhinanda,false,,拆粘音词关系失效
2020-12-24,kosalla,拆分之后集成拆分前的信息,拆粘音词,完善,4,visuddhinanda,false,,拆分之后集成拆分前的信息
2020-12-24,kosalla,拆分之后集成拆分前的信息,拆粘音词,完善,4,visuddhinanda,false,,拆分之后集成拆分前的信息
2020-12-24,kosalla,reader支持书签,拆粘音词,新增,4,visuddhinanda,false,,书签在reader中的显示，以帮助下次定位
2020-12-24,kosalla,再次点击才生效,拆分意思,bug,4,kosalla,false,,再次点击才生效
2020-12-24,kosalla,“-”连接自动总体意思,拆分意思,完善,4,kosalla,false,,自动合成意思可以用“-”链接
2020-12-24,kosalla,黑体ti语法信息为空,studio/语法信息,完善,4,kosalla,false,,
2020-12-24,kosalla,智能自动匹配,studio/自动匹配,新增,1,visuddhinanda,false,,"总排名评分0-255;长度评分=含义长度.split(""$"").maxlength/拼写长度;投诉评分削减"
2020-12-24,kosalla,title搜索字体放大,搜索,完善,1,pannabhinanda,false,,
2020-12-24,kosalla,译文历史记录,studio,完善,1,visuddhinanda,false,,studio译文历史记录
2020-12-29,kosalla,词典外部添加功能,阅读器词典,化假为真,"",visuddhinanda,false,"",""
"","","","","","","","","",""
