id,book,par_num,level,class,title,text,tran
201936,103,3,1,book,(DN) Sīlakkhandhavaggaṭṭhakathā,戒蘊品註,system
201937,103,4,2,chapter,Ganthārambhakathā,開篇偈誦註,system
201938,103,5,3,subsubhead,Ganthārambhakathā,開篇偈誦註,system
202132,103,199,2,chapter,1. Brahmajālasuttavaṇṇanā,1、梵網經註,system
202133,103,200,4,subhead,Paribbājakakathāvaṇṇanā,遊行者之說註,system
202256,103,323,4,subhead,Cūḷasīlavaṇṇanā,小戒註,system
202405,103,472,4,subhead,Majjhimasīlavaṇṇanā,中戒註,system
202436,103,503,4,subhead,Mahāsīlavaṇṇanā,大戒註,system
202450,103,517,4,subhead,Pubbantakappikasassatavādavaṇṇanā,屬於過去時間的，恆常論註,system
202480,103,547,4,subhead,Ekaccasassatavādavaṇṇanā,某部分恆常論註,system
202494,103,561,4,subhead,Antānantavādavaṇṇanā,有邊無邊論註,system
202497,103,564,4,subhead,Amarāvikkhepavādavaṇṇanā,詭辯論註,system
202505,103,572,4,subhead,Adhiccasamuppannavādavaṇṇanā,自然生論註,system
202508,103,575,4,subhead,Aparantakappikavaṇṇanā,屬於未來時間的註,system
202510,103,577,4,subhead,Saññīvādavaṇṇanā,有想論註,system
202513,103,580,4,subhead,Asaññīvādavaṇṇanā,無想論註,system
202515,103,582,4,subhead,Ucchedavādavaṇṇanā,斷滅論註,system
202521,103,588,4,subhead,Diṭṭhadhammanibbānavādavaṇṇanā,當生涅槃論註,system
202534,103,601,4,subhead,Phassapaccayavāravaṇṇanā,以觸為緣章註,system
202537,103,604,4,subhead,Diṭṭhigatikādhiṭṭhānavaṭṭakathāvaṇṇanā,到達見依處的輪回談說註,system
202542,103,609,4,subhead,Vivaṭṭakathādivaṇṇanā,還滅之談說等註,system
202570,103,637,2,chapter,2. Sāmaññaphalasuttavaṇṇanā,2、沙門果經註,system
202571,103,638,4,subhead,Rājāmaccakathāvaṇṇanā,國王大臣的談論註,system
202603,103,670,4,subhead,Komārabhaccajīvakakathāvaṇṇanā,養子耆婆的談論註,system
202622,103,689,4,subhead,Sāmaññaphalapucchāvaṇṇanā,沙門果的問題註,system
202657,103,724,4,subhead,Pūraṇakassapavādavaṇṇanā,富蘭那迦葉之論註,system
202663,103,730,4,subhead,Makkhaligosālavādavaṇṇanā,末迦利瞿捨羅之論註,system
