id,book,par_num,level,class,title,"text"
NULL,p118,1,100,centered,," Namo tassa bhagavato arahato sammāsambuddhassa"
NULL,p118,2,100,nikaya,,"Khuddakanikāye"
NULL,p118,3,1,book,Mahāniddesa-aṭṭhakathā,"Mahāniddesa-aṭṭhakathā"
NULL,p118,4,2,subsubhead,Ganthārambhakathā,"Ganthārambhakathā"
NULL,p118,5,100,gatha1,,"Avijjālaṅgiṃ  ghātento, nandirāgañca  mūlato;"
NULL,p118,6,100,gathalast,,"Bhāventaṭṭhaṅgikaṃ maggaṃ, phusi yo amataṃ padaṃ."
NULL,p118,7,100,gatha1,,"Pāpuṇitvā jino bodhiṃ, migadāyaṃ vigāhiya;"
NULL,p118,8,100,gathalast,,"Dhammacakkaṃ pavattetvā, theraṃ koṇḍaññamādito."
NULL,p118,9,100,gatha1,,"Aṭṭhārasannaṃ koṭīnaṃ, bodhesi tāpaso tahiṃ;"
NULL,p118,10,100,gathalast,,"Vandehaṃ sirasā tañca, sabbasattānamuttamaṃ."
NULL,p118,11,100,gatha1,,"Tathā  dhammuttamañceva, saṅghañcāpi anuttaraṃ;"
NULL,p118,12,100,gathalast,,"Saṃkhittena hi yo vuttaṃ, dhammacakkaṃ vibhāgaso."
NULL,p118,13,100,gatha1,,"Sāriputto mahāpañño, satthukappo jinatrajo;"
NULL,p118,14,100,gatha2,,"Dhammacakkaṃ vibhājetvā, mahāniddesamabravi;"
NULL,p118,15,100,gathalast,,"Pāṭho visiṭṭho niddeso, taṃnāmavisesito ca."
NULL,p118,16,100,gatha1,,"Taṃ sāriputtaṃ jinarājaputtaṃ, theraṃ thirānekaguṇādhivāsaṃ;"
NULL,p118,17,100,gathalast,,"Paññāpabhāvuggatacārukittiṃ, sunīcavuttiñca atho namitvā."
NULL,p118,18,100,gatha1,,"Khamādayādiyuttena, yuttamuttādivādinā;"
NULL,p118,19,100,gathalast,,"Bahussutena therena, devena abhiyācito."
NULL,p118,20,100,gatha1,,"Mahāvihāravāsīnaṃ, sajjhāyamhi patiṭṭhito;"
NULL,p118,21,100,gathalast,,"Gahetabbaṃ gahetvāna, porāṇesu vinicchayaṃ."
NULL,p118,22,100,gatha1,,"Avokkamento samayaṃ sakañca, anāmasanto samayaṃ parañca;"
NULL,p118,23,100,gathalast,,"Pubbopadesaṭṭhakathānayañca, yathānurūpaṃ upasaṃharanto."
NULL,p118,24,100,gatha1,,"Ñāṇappabhedāvahanassa tassa, yogīhi nekehi nisevitassa;"
NULL,p118,25,100,gathalast,,"Atthaṃ apubbaṃ anuvaṇṇayanto, suttañca yuttiñca anukkamento."
NULL,p118,26,100,gatha1,,"Ārabhissaṃ samāsena, mahāniddesavaṇṇanaṃ;"
NULL,p118,27,100,gathalast,,"Saddhammabahumānena, nāttukkaṃsanakamyatā."
NULL,p118,28,100,gatha1,,"Vakkhāmahaṃ aṭṭhakathaṃ janassa, hitāya saddhammaciraṭṭhitatthaṃ;"
NULL,p118,29,100,gathalast,,"Sakkacca saddhammapajotikaṃ taṃ, suṇātha dhāretha ca sādhu santoti."
NULL,p118,30,100,bodytext,,"Tattha ‘‘pāṭho visiṭṭho niddeso, taṃnāmavisesito cā’’ti vuttattā duvidho pāṭho – byañjanapāṭho, atthapāṭho ca. Tesu byañjanapāṭho akkharapadabyañjanaākāraniruttiniddesavasena  chabbidho. Atthapāṭho saṅkāsanapakāsanavivaraṇavibhajanauttānīkaraṇapaññattivasena chabbidho. Tattha tīsu dvāresu parisuddhapayogabhāvena visuddhakaruṇānaṃ cittena pavattitadesanā vācāhi akathitattā adesitattā akkharamiti saññitā, taṃ pārāyanikabrāhmaṇānaṃ manasā pucchitapañhānaṃ vasena bhagavatā ratanaghare nisīditvā sammasitapaṭṭhānamahāpakaraṇavasena ca akkharaṃ nāmāti gahetabbaṃ."
NULL,p118,31,100,bodytext,,"Atha  vā aparipuṇṇaṃ padaṃ akkharamiti gahetabbaṃ ‘‘saṭṭhivassasahassānī’’ti  evamādīsu (pe. va. 802; jā. 1.4.54; netti. 120) viya. Ettha hi sakāra nakāra sokārādīni akkharamiti, ekakkharaṃ vā padaṃ akkharamiti eke. ‘‘Yāyaṃ taṇhā ponobhavikā’’ti evamādīsu (mahāva. 14; vibha. 203; ma. ni. 3.374; paṭi. ma. 2.30) vibhatyantaṃ atthajotakaṃ akkharapiṇḍaṃ padaṃ. ‘‘Nāmañca rūpañcā’’ti evamādīsu (dha. sa. dukamātikā 109; su. ni. 878; mahāni. 107; cūḷani. ajitamāṇavapucchāniddeso 6; netti. 45) bahuakkharehi yuttaṃ padaṃ nāma. Saṃkhittena vuttaṃ padaṃ vibhāveti. Padena abhihitaṃ byañjayati byattaṃ pākaṭaṃ karotīti byañjanaṃ, vākyameva. ‘‘Cattāro iddhipādā’’ti saṅkhepena kathitamatthaṃ. ‘‘Katame cattāro? Idha, bhikkhave, bhikkhu chandasamādhipadhānasaṅkhārasamannāgataṃ iddhipādaṃ bhāveti. Vīriyacittavīmaṃsasamādhipadhānasaṅkhārasamannāgataṃ iddhipādaṃ bhāvetī’’tiādīsu (vibha. 431; saṃ. ni. 5.813; dī. ni. 3.306; a. ni. 4.276) pākaṭakaraṇabhāvena byañjanaṃ nāma. Byañjanavibhāgapakāso ākāro. ‘‘Tattha katamo chando? Yo chando chandikatā kattukamyatā’’ti evamādīsu (vibha. 433) kathitabyañjanaṃ anekavidhena vibhāgakaraṇaṃ ākāro nāma. Ākārābhihitassa nibbacanaṃ nirutti. ‘‘Phasso, vedanā’’ti evamādīsu (dha. sa. 1) ākārena kathitaṃ ‘‘phusatīti phasso. Vediyatīti vedanā’’ti nīharitvā vacanaṃ nirutti nāma. Nibbacanavitthāro nissesato desoti niddeso, vediyatīti vedanāti nibbacanaladdhapadaṃ ‘‘sukhā dukkhā adukkhamasukhā, sukhayatīti sukhā, dukkhayatīti dukkhā, neva dukkhayati na sukhayatīti adukkhamasukhā’’ti atthavitthāro niravasesena kathitattā niddeso nāma."
NULL,p118,32,100,bodytext,,"Evaṃ  chabbidhāni byañjanapadāni jānitvā ca chasu atthapadesu saṅkhepato kāsanā dīpanā saṅkāsanā, ‘‘maññamāno kho, bhikkhu, bandho mārassa amaññamāno mutto pāpimato’’ti evamādīsu saṅkhepena atthadīpanā saṅkāsanā nāma. Eso pana thero ‘‘buddhena bhagavatā  evaṃ saṅkhepaṃ katvā vuttamatthaṃ ‘aññātaṃ bhagavā, aññātaṃ sugatā’’’ti kathetuṃ samattho paṭivijjhi."
NULL,p118,33,100,bodytext,,"Upari  vattabbamatthaṃ ādito kāsanā dīpanā pakāsanā, ‘‘sabbaṃ, bhikkhave, āditta’’nti evamādīsu (mahāva. 54; saṃ. ni. 4.28) pacchā kathitabbamatthaṃ paṭhamavacanena dīpanā pakāsanā nāma. Evaṃ paṭhamaṃ dīpitaṃ atthaṃ puna pākaṭaṃ katvā dīpanena ‘‘kiñca, bhikkhave, sabbaṃ ādittaṃ? Cakkhuṃ, bhikkhave, ādittaṃ, rūpā ādittā’’ti evamādīsu (mahāva. 54; saṃ. ni. 4.28) kathitesu ‘‘tikkhindriyo saṅkhepena vuttaṃ paṭivijjhatī’’ti kathitattā dve atthapadāni tikkhindriyassa upakāravasena vuttāni."
NULL,p118,34,100,bodytext,,"Saṃkhittassa vitthārābhidhānaṃ sakiṃ vuttassa ca punapi abhidhānaṃ vivaraṇaṃ, ‘‘kusalā dhammā’’ti (dha. sa. 1) saṅkhepena nikkhittassa. ‘‘Katame dhammā kusalā? Yasmiṃ samaye kāmāvacaraṃ kusalaṃ cittaṃ uppannaṃ hotī’’ti (dha. sa. 1) niddesavasena vitthāraṇaṃ vitthāravasena puna kathanaṃ vivaraṇaṃ nāma."
NULL,p118,35,100,bodytext,,"Taṃ vibhāgakaraṇaṃ vibhajanaṃ, ‘‘yasmiṃ samaye’’ti (dha. sa. 1) vivarite kusale dhamme ‘‘tasmiṃ samaye phasso hoti, vedanā hotī’’ti (dha. sa. 1) vibhāgakaraṇaṃ vibhajanaṃ nāma. Vivarassa vitthārābhidhānena vibhattassa ca upamābhidhānena  paṭipādanaṃ uttānīkaraṇaṃ, vivaraṇena vivaritatthassa ‘‘katamo tasmiṃ samaye phasso hoti? Yo tasmiṃ samaye phasso phusanā samphusanā’’ti (dha. sa. 2) ativivaritvā kathanañca vibhajanena vibhattassa ‘‘seyyathāpi, bhikkhave, gāvī niccammā, evameva khvāhaṃ, bhikkhave, phassāhāro daṭṭhabboti vadāmī’’ti (saṃ. ni. 2.63) evamādiupamākathanañca uttānīkaraṇaṃ nāma. Dhammaṃ suṇantānaṃ dhammadesanena cittassa anekavidhena somanassauppādanañca atikhiṇabuddhīnaṃ anekavidhena ñāṇassa tikhiṇabhāvakaraṇañca paññatti nāma, tesaṃ suṇantānaṃ taṃcittatosanena taṃcittanisāmanena ca paññāyatīti paññatti. Tattha bhagavā akkharehi saṅkāsayati, padehi pakāsayati, byañjanehi vivarati, ākārehi vibhajati, niruttīhi uttānīkaroti, niddesehi paññāpayatīti. Kiṃ vuttaṃ hoti? Buddhā bhagavanto ekacce veneyye ekasmiṃ desane akkharehi atthasaṅkāsanaṃ karonti…pe… niddesehi atthapaññāpanaṃ karontīti ayamettha adhippāyo."
NULL,p118,36,100,bodytext,,"Atha  vā akkharehi saṅkāsayitvā padehi pakāsayati, byañjanehi vivaritvā ākārehi vibhajati, niruttīhi uttānīkatvā niddesehi paññāpayati. Kiṃ vuttaṃ hoti? Evarūpena dhammadesanena ekaccesu ṭhānesu ekaccānaṃ veneyyānaṃ vinayatīti."
NULL,p118,37,100,bodytext,,"Atha vā akkharehi ugghāṭayitvā padehi pakāsento vinayati ugghaṭitaññuṃ, byañjanehi vivaritvā ākārehi vibhajanto vinayati vipañcitaññuṃ, niruttīhi uttānīkatvā niddesehi paññāpento vinayati neyyaṃ. Iti veneyyavasenapi yojetabbameva."
NULL,p118,38,100,bodytext,,"Atthato panettha katamo byañjanapāṭho, katamo atthapāṭhoti? Buddhānaṃ bhagavantānaṃ dhammaṃ desentānaṃ yo atthāvagamako saviññattikasaddo, so byañjanapāṭho. Yo tena abhisametabbo lakkhaṇarasādisahito dhammo, so atthapāṭhoti veditabbo. Punapi sandhāyabhāsito byañjanabhāsito sāvasesapāṭho anavasesapāṭho nīto neyyoti chabbidho pāṭho. Tattha anekatthavattā sandhāyabhāsito ‘‘mātaraṃ pitaraṃ hantvā, rājāno dve ca khattiye’’ti evamādi (dha. pa. 294). Ekatthavattā byañjanabhāsito ‘manopubbaṅgamā dhammā’’ti evamādi (dha. pa. 1.2; netti. 89, 92; peṭako. 14). Sāvaseso ‘‘sabbaṃ, bhikkhave, āditta’’nti evamādi (mahāva. 54; saṃ. ni. 4.28). Viparīto anavaseso ‘‘sabbe dhammā sabbākārena buddhassa bhagavato ñāṇamukhe āpāthaṃ āgacchantī’’ti evamādi (mahāni. 156; cūḷani. mogharājamāṇavapucchāniddeso 85; paṭi. ma. 3.5). Yathā vacanaṃ, tathā avagantabbo nīto ‘‘aniccaṃ dukkhaṃ anattā’’ti evamādi. Yuttiyā anussaritabbo neyyo ‘‘ekapuggalo bhikkhave’’ti evamādi (a. ni. 1.170)."
NULL,p118,39,100,bodytext,,"Attho pana anekappakāro pāṭhattho sabhāvattho ñāyattho pāṭhānurūpo napāṭhānurūpo sāvasesattho niravasesattho nītattho neyyattho iccādi. Tattha yo appassatthassa ñāpanatthamuccāriyate, so pāṭhattho ‘‘sātthaṃ sabyañjana’’ntiādīsu (pārā. 1; dī. ni. 1.190) viya. Rūpārūpadhammānaṃ lakkhaṇarasādisabhāvattho ‘‘sammādiṭṭhiṃ bhāvetī’’tiādīsu (vibha. 485; saṃ. ni. 5.3) viya. Yo ñāyamāno hitāya saṃvattati, so ñātuṃ arahatīti ñāyattho – ‘‘atthavādī dhammavādī’’tiādīsu (dī. ni. 1.9, 194; 3.238; ma. ni. 1.411) viya. Yathāpāṭhaṃ bhāsito pāṭhānurūpo ‘‘cakkhu, bhikkhave, purāṇakamma’’nti (saṃ. ni. 4.146) bhagavatā vuttaṃ. Tasmā cakkhumapi kammanti. Byañjanacchāyāya atthaṃ paṭibāhayamānena vutto attho napāṭhānurūpo, so pāṭhato ananuññāto akatapaṭikkhepo  viyutto. So  ca saṅgahetabbampi asaṅgahetvā, parivajjetabbampi vā kiñci aparivajjetvā parisesaṃ katvā vutto sāvasesattho ‘‘cakkhuñca paṭicca rūpe ca uppajjati cakkhuviññāṇaṃ (saṃ. ni. 4.60; mahāni. 107). Sabbe tasanti daṇḍassa, sabbe bhāyanti maccuno’’tiādīsu (dha. pa. 129) viya. Viparīto niravasesattho ‘‘sandhāvitaṃ saṃsaritaṃ mamañceva tumhākañca (dī. ni. 2.155; mahāva. 287; netti. 114). Tatra, bhikkhave, ko mantā ko saddhātā…pe… aññatra diṭṭhapadehī’’tiādīsu (a. ni. 7.66) viya. Saddavaseneva veditabbo nītattho ‘‘rūpā saddā rasā gandhā, phoṭṭhabbā ca manoramā’’tiādīsu (saṃ. ni. 1.151, 165; mahāva. 33) viya. Sammutivasena veditabbo neyyattho ‘‘cattārome, bhikkhave, valāhakūpamā puggalā’’tiādīsu (a. ni. 4.101-102) viya. Evamidha pāṭhañca atthañca vivaritvā ṭhito asaṃhīro bhavati paravādīhi dīgharattaṃ titthavāsena."
NULL,p118,40,100,bodytext,,"Iti asaṃhīrabhāvena yāva āgamādhigamasampadaṃ, tāva vattuṃ sakkoti. Saṅkhepavitthāranayena hetudāharaṇādīhi avabodhayituṃ samattho. Evaṃvidho attānañca parañca sodhetuṃ samatthabhāvena dussīlyadiṭṭhimalavirahitattā suci. Dussīlo hi attānaṃ upahanati, tena nādeyyavāco ca bhavati sabyohāramāno idha niccāturo vejjova. Duddiṭṭhi paraṃ upahanati, nāvassayo ca bhavati vāḷagahākulo iva kamalasaṇḍo. Ubhayavipanno pana sabbathāpi anupāsanīyo bhavati gūthagatamiva chavālātaṃ gūthagato viya ca kaṇhasappo. Ubhayasampanno pana sabbathāpi upāsanīyo sevitabbo ca viññūhi, nirupaddavo iva ratanākaro, evaṃ bhūto evaṃ amaccharo  ahīnācariyamuṭṭhi. Suttasuttānulomaācariyavādaattanomatisaṅkhātānañca catunnaṃ apariccāgī, tesaṃ vasena byākhyāto."
NULL,p118,41,100,gatha1,,"‘‘Ekaṃsavacanaṃ ekaṃ, vibhajjavacanaṃ padaṃ;"
NULL,p118,42,100,gathalast,,"Tatiyaṃ paṭipuccheyya, catutthaṃ pana ṭhāpaye’’ti."
NULL,p118,43,100,bodytext,,"Etesaṃ  vā apariccāgī. Tato eva sotūnaṃ hite niyuttattā nesaṃ avabodhanaṃ pati akilāsu bhavatīti. Āha cettha –"
NULL,p118,44,100,gatha1,,"‘‘Pāṭhatthavidasaṃhīro, vattā suci amaccharo;"
NULL,p118,45,100,gathalast,,"Catunnaṃ apariccāgī, desakassa hitānvito’’ti."
