id,book,par_num,level,class,title,text,author
377556,159,3,1,book,Suttanipātapāḷi,經集,元亨寺
377557,159,4,2,chapter,1. Uragavaggo,一　蛇　品,元亨寺
377558,159,5,4,subhead,1. Uragasuttaṃ,一　蛇經,元亨寺
377611,159,58,4,subhead,2. Dhaniyasuttaṃ,二　陀尼耶經,元亨寺
377678,159,125,4,subhead,3. Khaggavisāṇasuttaṃ,三　犀牛經,元亨寺
377803,159,250,4,subhead,4. Kasibhāradvājasuttaṃ,四　耕田婆羅墮闍經,元亨寺
377835,159,282,4,subhead,5. Cundasuttaṃ,五　淳陀經,元亨寺
377865,159,312,4,subhead,6. Parābhavasuttaṃ,六　敗亡經,元亨寺
377943,159,390,4,subhead,7. Vasalasuttaṃ,七　賤民經,元亨寺
378032,159,479,4,subhead,8. Mettasuttaṃ,八　慈經,元亨寺
378064,159,511,4,subhead,9. Hemavatasuttaṃ,九　雪山〔夜叉〕經,元亨寺
378169,159,616,4,subhead,10. Āḷavakasuttaṃ,一〇　曠野（夜叉）經,元亨寺
378213,159,660,4,subhead,11. Vijayasuttaṃ,一一　征勝經,元亨寺
378257,159,704,4,subhead,12. Munisuttaṃ,一二　牟尼經,元亨寺
378312,159,759,2,chapter,2. Cūḷavaggo,二　小品,元亨寺
378313,159,760,4,subhead,1. Ratanasuttaṃ,一　寶經,元亨寺
378379,159,826,4,subhead,2. Āmagandhasuttaṃ,二　臭穢經,元亨寺
378425,159,872,4,subhead,3. Hirisuttaṃ,三　慚經,元亨寺
378442,159,889,4,subhead,4. Maṅgalasuttaṃ,四　大吉祥經,元亨寺
378481,159,928,4,subhead,5. Sūcilomasuttaṃ,五　針毛夜叉經,元亨寺
378499,159,946,4,subhead,6. Dhammacariyasuttaṃ,六　法行經,元亨寺
378531,159,978,4,subhead,7. Brāhmaṇadhammikasuttaṃ,七　婆羅門法經,元亨寺
378638,159,1085,4,subhead,8. Nāvāsuttaṃ,八　船經,元亨寺
378664,159,1111,4,subhead,9. Kiṃsīlasuttaṃ,九　何謂戒經,元亨寺
378689,159,1136,4,subhead,10. Uṭṭhānasuttaṃ,一〇　起立經,元亨寺
378704,159,1151,4,subhead,11. Rāhulasuttaṃ,一一　羅睺羅經,元亨寺
378731,159,1178,4,subhead,12. Nigrodhakappasuttaṃ,一二　鵬耆舍經,元亨寺
378784,159,1231,4,subhead,13. Sammāparibbājanīyasuttaṃ,一三　正普行經,元亨寺
378841,159,1288,4,subhead,14. Dhammikasuttaṃ,一四　曇彌迦經,元亨寺
378937,159,1384,2,chapter,3. Mahāvaggo,三　大品,元亨寺
