id,book,par_num,100,class,title,text
NULL,p209,1,100,centered,,
NULL,p209,2,100,nikaya,,
NULL,p209,3,1,book,Vajirabuddhi-ṭīkā,金刚觉-复注
NULL,p209,4,5,subsubhead,Ganthārambhakathā,开题诗
NULL,p209,5,100,gatha1,,
NULL,p209,6,100,gatha2,,
NULL,p209,7,100,gatha3,,
NULL,p209,8,100,gathalast,,
NULL,p209,9,100,gatha1,,
NULL,p209,10,100,gatha2,,
NULL,p209,11,100,gatha3,,
NULL,p209,12,100,gathalast,,
NULL,p209,13,100,gatha1,,
NULL,p209,14,100,gatha2,,
NULL,p209,15,100,gatha3,,
NULL,p209,16,100,gathalast,,
NULL,p209,17,100,gatha1,,
NULL,p209,18,100,gathalast,,
NULL,p209,19,100,unindented,,
NULL,p209,20,100,bodytext,,
NULL,p209,21,100,gatha1,,
NULL,p209,22,100,gathalast,,
NULL,p209,23,100,bodytext,,
NULL,p209,24,100,bodytext,,
NULL,p209,25,100,gatha1,,
NULL,p209,26,100,gathalast,,
NULL,p209,27,100,bodytext,,
NULL,p209,28,100,gatha1,,
NULL,p209,29,100,gathalast,,
NULL,p209,30,100,gatha1,,
NULL,p209,31,100,gatha1,,
NULL,p209,32,100,gathalast,,
NULL,p209,33,100,gatha1,,
NULL,p209,34,100,bodytext,,
NULL,p209,35,100,gatha1,,
NULL,p209,36,100,gathalast,,
NULL,p209,37,100,bodytext,,
NULL,p209,38,100,indent,,
NULL,p209,39,100,bodytext,,
NULL,p209,40,5,subsubhead,Ganthārambhakathāvaṇṇanā,开题诗解释
NULL,p209,41,100,bodytext,,
NULL,p209,42,100,bodytext,,
NULL,p209,43,100,gatha1,,
NULL,p209,44,100,gathalast,,
NULL,p209,45,100,bodytext,,
NULL,p209,46,100,gatha1,,
NULL,p209,47,100,gatha2,,
NULL,p209,48,100,gatha3,,
NULL,p209,49,100,gathalast,,
NULL,p209,50,100,bodytext,,
NULL,p209,51,100,gatha1,,
NULL,p209,52,100,gathalast,,
NULL,p209,53,100,unindented,,
NULL,p209,54,100,gatha1,,
NULL,p209,55,100,gathalast,,
NULL,p209,56,100,bodytext,,
NULL,p209,57,100,gatha1,,
NULL,p209,58,100,gathalast,,
NULL,p209,59,100,unindented,,
NULL,p209,60,100,bodytext,,
NULL,p209,61,100,bodytext,,
NULL,p209,62,100,gatha1,,
NULL,p209,63,100,gathalast,,
NULL,p209,64,100,bodytext,,
NULL,p209,65,100,gatha1,,
NULL,p209,66,100,gathalast,,
NULL,p209,67,100,bodytext,,
NULL,p209,68,100,gatha1,,
NULL,p209,69,100,gathalast,,
NULL,p209,70,100,gatha1,,
NULL,p209,71,100,gathalast,,
NULL,p209,72,100,gatha1,,
NULL,p209,73,100,gathalast,,
NULL,p209,74,100,bodytext,,
NULL,p209,75,100,gatha1,,
NULL,p209,76,100,gathalast,,
NULL,p209,77,100,gatha1,,
NULL,p209,78,100,gathalast,,
NULL,p209,79,100,bodytext,,
NULL,p209,80,100,gatha1,,
NULL,p209,81,100,gathalast,,
NULL,p209,82,100,bodytext,,
NULL,p209,83,100,gatha1,,
NULL,p209,84,100,gatha2,,
NULL,p209,85,100,gatha3,,
NULL,p209,86,100,gathalast,,
NULL,p209,87,100,unindented,,
NULL,p209,88,100,bodytext,,
NULL,p209,89,100,gatha1,,
NULL,p209,90,100,gathalast,,
NULL,p209,91,100,unindented,,
NULL,p209,92,100,gatha1,,
NULL,p209,93,100,gatha2,,
NULL,p209,94,100,gatha3,,
NULL,p209,95,100,gathalast,,
NULL,p209,96,100,gatha1,,
NULL,p209,97,100,gatha2,,
NULL,p209,98,100,gatha3,,
NULL,p209,99,100,gathalast,,
NULL,p209,100,100,bodytext,,
NULL,p209,101,100,bodytext,,
NULL,p209,102,100,bodytext,,
NULL,p209,103,100,bodytext,,
NULL,p209,104,100,gatha1,,
NULL,p209,105,100,gathalast,,
NULL,p209,106,100,bodytext,,
NULL,p209,107,100,gatha1,,
NULL,p209,108,100,gathalast,,
NULL,p209,109,100,gatha1,,
NULL,p209,110,100,gathalast,,
NULL,p209,111,100,bodytext,,
NULL,p209,112,100,gatha1,,
NULL,p209,113,100,gatha2,,
