id,book,par_num,level,class,title,text
NULL,p34,1,100,centered,," Namo tassa bhagavato arahato sammāsambuddhassa"
NULL,p34,2,1,chapter,Cāṇakyanītipāḷi,Cāṇakyanītipāḷi
NULL,p34,3,8,hangnum,1.,1.
NULL,p34,4,100,gatha1,," Nānāsattho  ddhataṃ vakkhe,"
NULL,p34,5,100,gatha2,,"Rāja nīti samuccayaṃ;"
NULL,p34,6,100,gatha3,,"Sabba bīja midaṃ satthaṃ,"
NULL,p34,7,100,gathalast,,"Cāṇakyaṃ sārasaṅgahaṃ."
NULL,p34,8,8,hangnum,2.,2.
NULL,p34,9,100,gatha1,," Mūlasuttaṃ pavakkhāmi,"
NULL,p34,10,100,gatha2,,"Cāṇakyena yathoditaṃ;"
NULL,p34,11,100,gatha3,,"Yassa viññāna mattena,"
NULL,p34,12,100,gathalast,,"Mūḷho bhavati paṇḍito."
NULL,p34,13,8,hangnum,3.,3.
NULL,p34,14,100,gatha1,," Viduttaṃ  narapaccañca,"
NULL,p34,15,100,gatha2,,"Nevatulyaṃ kudācanaṃ;"
NULL,p34,16,100,gatha3,,"Sadese pujjate rājā,"
NULL,p34,17,100,gathalast,,"Vidū sabbattha pujjate."
NULL,p34,18,8,hangnum,4.,4.
NULL,p34,19,100,gatha1,," Paṇḍite  ca guṇā sabbe,"
NULL,p34,20,100,gatha2,,"Mūḷhe dosā hi kevalaṃ;"
NULL,p34,21,100,gatha3,,"Tasmā mūḷhasahassesu,"
NULL,p34,22,100,gathalast,,"Pañño eko visisyate."
NULL,p34,23,8,hangnum,5.,5.
NULL,p34,24,100,gatha1,," Mātariva  paradāresu,"
NULL,p34,25,100,gatha2,,"Paradabbesu leṭṭuva;"
NULL,p34,26,100,gatha3,,"Attaniva sabbabhūtesu,"
NULL,p34,27,100,gathalast,,"Yo passati sapaṇḍito."
NULL,p34,28,8,hangnum,6.,6.
NULL,p34,29,100,gatha1,," Kiṃkulena visālena,"
NULL,p34,30,100,gatha2,,"Guṇahīno tu yonaro;"
NULL,p34,31,100,gatha3,,"Akulinopi satthañño,"
NULL,p34,32,100,gathalast,,"Devatāhipi pujjate."
NULL,p34,33,8,hangnum,7.,7.
NULL,p34,34,100,gatha1,," Rūpayobbanasampannā,"
NULL,p34,35,100,gatha2,,Visālakulasambhavā;
NULL,p34,36,100,gatha3,,"Vijjāhīnā nasobhante,"
NULL,p34,37,100,gathalast,,"Niggandhā iva kiṃsukā."
NULL,p34,38,8,hangnum,8.,8.
NULL,p34,39,100,gatha1,," Tārānaṃ  bhūsaṇaṃ cando,"
NULL,p34,40,100,gatha2,,"Nārīnaṃ bhūsaṇaṃ pati;"
NULL,p34,41,100,gatha3,,"Puthabyā bhūsaṇaṃ rājā,"
NULL,p34,42,100,gathalast,,"Vijjā sabbassa bhūsaṇaṃ."
NULL,p34,43,8,hangnum,9.,9.
NULL,p34,44,100,gatha1,," Mātā sattu pitā verī,"
NULL,p34,45,100,gatha2,,"Yena bālo napāṭṭhito;"
NULL,p34,46,100,gatha3,,"Na sobhate sabhāmajjhe,"
NULL,p34,47,100,gathalast,,"Haṃsamajjhe bakoyathā."
NULL,p34,48,8,hangnum,10.,10.
NULL,p34,49,100,gatha1,," Varameko  guṇī putto,"
NULL,p34,50,100,gatha2,,"Na ca mūḷhasatehipi;"
NULL,p34,51,100,gatha3,,"Eko cando tamo hanti,"
NULL,p34,52,100,gathalast,,"Na ca tāragaṇehipi."
NULL,p34,53,8,hangnum,11.,11.
NULL,p34,54,100,gatha1,," Lālaye  pañcavassāni,"
NULL,p34,55,100,gatha2,,"Dasavassāni tālaye;"
NULL,p34,56,100,gatha3,,"Patte tu soḷase vasse,"
NULL,p34,57,100,gathalast,,"Puttaṃ mittaṃva ācare."
NULL,p34,58,8,hangnum,12.,12.
NULL,p34,59,100,gatha1,," Lālane  bahavo dosā,"
NULL,p34,60,100,gatha2,,"Tālane bahavo guṇā;"
NULL,p34,61,100,gatha3,,"Tasmā puttañca sissañca,"
NULL,p34,62,100,gathalast,,"Tālaye na tu lālaye."
NULL,p34,63,8,hangnum,13.,13.
NULL,p34,64,100,gatha1,," Ekenāpi  suvakkhena,"
NULL,p34,65,100,gatha2,,"Pupphitena sugandhinā;"
NULL,p34,66,100,gatha3,,"Vāsitassa vanaṃ sabbaṃ,"
NULL,p34,67,100,gathalast,,"Suputtena kulaṃyathā."
NULL,p34,68,8,hangnum,14.,14.
NULL,p34,69,100,gatha1,," Ekassāpi  kuvakkhassa,"
NULL,p34,70,100,gatha2,,"Koṭaraṭṭhena agginā;"
NULL,p34,71,100,gatha3,,"Dayhate hi vanaṃ sabbaṃ,"
NULL,p34,72,100,gathalast,,"Kuputtena kulaṃ yathā."
NULL,p34,73,8,hangnum,15.,15.
NULL,p34,74,100,gatha1,," Dūrato sobhate mūḷho,"
NULL,p34,75,100,gatha2,,"Lambamāna paṭāvuto;"
NULL,p34,76,100,gatha3,,"Tāvañca sobhate mūḷho,"
NULL,p34,77,100,gathalast,,"Yāva kiñci nabhāsate."
NULL,p34,78,8,hangnum,16.,16.
NULL,p34,79,100,gatha1,," Visato  amataṃ gāyhaṃ,"
NULL,p34,80,100,gatha2,,"Amejjhāapi kañcanaṃ;"
NULL,p34,81,100,gatha3,,"Nīcato uttamā vijjā,"
NULL,p34,82,100,gathalast,,"Thīratnaṃ dukkulāapi."
NULL,p34,83,8,hangnum,17.,17.
NULL,p34,84,100,gatha1,," Ussave  byasaneceva,"
NULL,p34,85,100,gatha2,,"Dubbhikkhe sattuviggahe;"
NULL,p34,86,100,gatha3,,"Rājadvāre susāneca,"
NULL,p34,87,100,gathalast,,"Yo tiṭṭhati sabandhavo."
NULL,p34,88,8,hangnum,18.,18.
NULL,p34,89,100,gatha1,," Parokkhe kiccahantāraṃ,"
NULL,p34,90,100,gatha2,,"Paccakkhe piyavādinaṃ;"
NULL,p34,91,100,gatha3,,"Vajjaye tādisaṃ mittaṃ,"
NULL,p34,92,100,gathalast,,"Visakumbhaṃ payomukhaṃ."
NULL,p34,93,8,hangnum,19.,19.
NULL,p34,94,100,gatha1,," Sakiṃ  duṭṭhañca mittaṃ yo,"
NULL,p34,95,100,gatha2,,"Puna sandhātu micchati;"
NULL,p34,96,100,gatha3,,"Samaccu mupagaṇhāti,"
NULL,p34,97,100,gathalast,,"Gabbha massatarī yathā."
NULL,p34,98,8,hangnum,20.,20.
NULL,p34,99,100,gatha1,," Na  vissase avissatthaṃ,"
NULL,p34,100,100,gatha2,,"Mittañcāpi na vissase;"
NULL,p34,101,100,gatha3,,"Kadāci kupitaṃ mittaṃ,"
NULL,p34,102,100,gathalast,,"Sabbadosaṃ pakāsaye."
NULL,p34,103,8,hangnum,21.,21.
NULL,p34,104,100,gatha1,," Jāniyā  pesane bhacce,"
NULL,p34,105,100,gatha2,,"Bandhave byasanāgame;"
NULL,p34,106,100,gatha3,,"Mittañcā padikāleca,"
NULL,p34,107,100,gathalast,,"Bhariyañca vibhavakkhaye."
NULL,p34,108,8,hangnum,22.,22.
NULL,p34,109,100,gatha1,," Upakāraggahitena,"
NULL,p34,110,100,gatha2,,Sattunāsattumuddhare;
NULL,p34,111,100,gatha3,,"Pādalaggaṃ karaṭṭhena,"
NULL,p34,112,100,gathalast,,"Kaṇṭakeneva kaṇṭakaṃ."
NULL,p34,113,8,hangnum,23.,23.
NULL,p34,114,100,gatha1,," Na  mittaṃ koci kassaci,"
NULL,p34,115,100,gatha2,,"Na koci ripu kassaci;"
NULL,p34,116,100,gatha3,,"Kāraṇena hi ñāyati,"
NULL,p34,117,100,gathalast,,"Mittāni ca ripū tathā."
NULL,p34,118,8,hangnum,24.,24.
NULL,p34,119,100,gatha1,," Dujjano  piyavādī ca,"
NULL,p34,120,100,gatha2,,"Netaṃ vissāsakāraṇaṃ;"
NULL,p34,121,100,gatha3,,"Madhu tiṭṭhati jivhagge,"
NULL,p34,122,100,gathalast,,"Hadaye tu halāhalaṃ."
NULL,p34,123,8,hangnum,25.,25.
NULL,p34,124,100,gatha1,," Dujjano parihantabbo,"
NULL,p34,125,100,gatha2,,"Vijjāyā laṅkatopi saṃ;"
NULL,p34,126,100,gatha3,,"Maṇinā bhūsito sappo,"
NULL,p34,127,100,gathalast,,"Kime so nabhayaṃ karo."
NULL,p34,128,8,hangnum,26.,26.
NULL,p34,129,100,gatha1,," Sappo  kūro khalo kūro,"
NULL,p34,130,100,gatha2,,"Sappā kūrataro khalo;"
NULL,p34,131,100,gatha3,,"Manto sadhivaso sappo,"
NULL,p34,132,100,gathalast,,"Khalo kena nivāyyate."
NULL,p34,133,8,hangnum,27.,27.
NULL,p34,134,100,gatha1,," Nakhīnañca  nadīnañca,"
NULL,p34,135,100,gatha2,,"Siṅgīnaṃ satthapāṇinaṃ;"
NULL,p34,136,100,gatha3,,"Vissāso nevakātabbo,"
NULL,p34,137,100,gathalast,,"Thīsu rājakulesu ca."
NULL,p34,138,8,hangnum,28.,28.
NULL,p34,139,100,gatha1,," Hatthī  hatthasahassena,"
NULL,p34,140,100,gatha2,,"Satahatthena vājino;"
NULL,p34,141,100,gatha3,,"Siṅgino dasahatthena,"
NULL,p34,142,100,gathalast,,"Ṭhānacāgena dujjano."
NULL,p34,143,8,hangnum,29.,29.
NULL,p34,144,100,gatha1,," Āpadatthaṃ  dhanaṃ rakkhe,"
NULL,p34,145,100,gatha2,,"Dāraṃ rakkhe dhanehipi;"
NULL,p34,146,100,gatha3,,"Attānaṃ satataṃ rakkhe,"
NULL,p34,147,100,gathalast,,"Dārehipi dhanehipi."
NULL,p34,148,8,hangnum,30.,30.
NULL,p34,149,100,gatha1,," Paradāraṃ paradabbaṃ,"
NULL,p34,150,100,gatha2,,"Parivādaṃ parassa ca;"
