id,book,par_num,level,class,title,text
NULL,p36,1,100,centered,,"Namo tassa bhagavato arahato sammāsambuddhassa."
NULL,p36,2,1,book,Rasavāhinī,Rasavāhinī
NULL,p36,3,4,subhead,Paṇāmādikathā,Paṇāmādikathā
NULL,p36,4,8,hangnum,1.,1.
NULL,p36,5,100,gatha1,," Satthuppasatthacaraṇaṃ  saraṇaṃ janānaṃ,"
NULL,p36,6,100,gatha2,,"Brahmādimoḷi maṇiraṃsi samāvahantaṃ,"
NULL,p36,7,100,gatha3,,Paṅkeruhābhamudukomalacāruvaṇṇaṃ;
NULL,p36,8,100,gathalast,,"Vandāmi cakkavaralakkhaṇamādadhānaṃ."
NULL,p36,9,8,hangnum,2.,2.
NULL,p36,10,100,gatha1,," Siddhaṃ jinena cirakālamatanditena,"
NULL,p36,11,100,gatha2,,"Yaṃ bhāvako samadhigacchati khemamaggaṃ;"
NULL,p36,12,100,gatha3,,"Yaṃ kapparukkha rucidāna maṇiva bhāti,"
NULL,p36,13,100,gathalast,,"Taṃ dhammamagga masamaṃ paṇamāmi niccaṃ."
NULL,p36,14,8,hangnum,3.,3.
NULL,p36,15,100,gatha1,," Santindriyaṃ sugatasūnuvaraṃ visuddhaṃ,"
NULL,p36,16,100,gatha2,,"Yaṃ dakkhiṇeyyamatadaṃ sucipuññakhettaṃ;"
NULL,p36,17,100,gatha3,,"Tāṇesinaṃ saraṇamujjhitasabbadukkhaṃ,"
NULL,p36,18,100,gathalast,,"Vandāmi saṅgha managhaṃ sirasā mahagghaṃ."
NULL,p36,19,8,hangnum,4.,4.
NULL,p36,20,100,gatha1,," Yampattamettha ratanattayathomanena,"
NULL,p36,21,100,gatha2,,"Puññena tena duritaṃ sakalaṃ paṇujja,"
NULL,p36,22,100,gatha3,,"Vakkhāmahaṃ sumadhuraṃ rasavāhinintaṃ,"
NULL,p36,23,100,gathalast,,"Bho bho suṇantu sujanā bhimudāvahā sā."
NULL,p36,24,8,hangnum,5.,5.
NULL,p36,25,100,gatha1,," Tatthatatthūpapannāni,  vatthūni arahā pure;"
NULL,p36,26,100,gathalast,,"Abhāsuṃ dīpabhāsāya, ṭhapesuṃ taṃ purātanā."
NULL,p36,27,8,hangnum,6.,6.
NULL,p36,28,100,gatha1,," Mahāvihāre taṅgutta, vaṅkapariveṇavāsiko;"
NULL,p36,29,100,gathalast,,"Raṭṭhapāloti nāmena, sīlācāra guṇākaro."
NULL,p36,30,8,hangnum,7.,7.
NULL,p36,31,100,gatha1,," Hitāya parivattesi, pajānaṃ pāḷibhāsato;"
NULL,p36,32,100,gatha2,,"Punaruttādidosehi, tamāsi sabbamākulaṃ;"
NULL,p36,33,100,gathalast,,"Anākulaṃ karissāmi, taṃ suṇātha samāhitā."
NULL,p36,34,8,hangnum,8.,8.
NULL,p36,35,100,gatha1,," Vitarāgā pure vocuṃ, yasmā tasmā hi bhāsitaṃ;"
NULL,p36,36,100,gathalast,,"Etamādaraṇīyañhi, sādhu sādhūhi sabbadāti."
NULL,p36,37,100,centered,,"Jambudīpuppatti vatthūni."
NULL,p36,38,2,chapter,Dhammasoṇḍakavaggo,Dhammasoṇḍakavaggo
NULL,p36,39,3,title,"1. Dhammasoṇḍakassa vatthumhi ayamānupubbīkathā","1. Dhammasoṇḍakassa vatthumhi ayamānupubbīkathā"
