id,book,par_num,100,class,title,text,auther
NULL,93,1,100,centered,,,庄春江
NULL,93,2,100,nikaya,,,庄春江
NULL,93,3,1,book,Sīlakkhandhavaggapāḷi,戒蕴品,庄春江
NULL,93,4,2,chapter,1. Brahmajālasuttaṃ,1、梵网经,庄春江
NULL,93,5,4,subhead,Paribbājakakathā,游行者之说,庄春江
NULL,93,6,100,bodytext,,,庄春江
NULL,93,7,100,bodytext,,,庄春江
NULL,93,8,100,bodytext,,,庄春江
NULL,93,9,100,bodytext,,,庄春江
NULL,93,10,100,bodytext,,,庄春江
NULL,93,11,100,bodytext,,,庄春江
NULL,93,12,4,subhead,Cūḷasīlaṃ,小戒,庄春江
NULL,93,13,100,bodytext,,,庄春江
NULL,93,14,100,bodytext,,,庄春江
NULL,93,15,100,bodytext,,,庄春江
NULL,93,16,100,bodytext,,,庄春江
NULL,93,17,100,bodytext,,,庄春江
NULL,93,18,100,bodytext,,,庄春江
NULL,93,19,100,bodytext,,,庄春江
NULL,93,20,100,bodytext,,,庄春江
NULL,93,21,100,bodytext,,,庄春江
NULL,93,22,100,bodytext,,,庄春江
NULL,93,23,100,bodytext,,,庄春江
NULL,93,24,100,bodytext,,,庄春江
NULL,93,25,100,bodytext,,,庄春江
NULL,93,26,100,bodytext,,,庄春江
NULL,93,27,100,bodytext,,,庄春江
NULL,93,28,100,bodytext,,,庄春江
NULL,93,29,100,bodytext,,,庄春江
NULL,93,30,100,bodytext,,,庄春江
NULL,93,31,100,bodytext,,,庄春江
NULL,93,32,100,bodytext,,,庄春江
NULL,93,33,100,bodytext,,,庄春江
NULL,93,34,100,bodytext,,,庄春江
NULL,93,35,100,bodytext,,,庄春江
NULL,93,36,100,bodytext,,,庄春江
NULL,93,37,100,bodytext,,,庄春江
NULL,93,38,100,bodytext,,,庄春江
NULL,93,39,100,bodytext,,,庄春江
NULL,93,40,100,centered,,,庄春江
NULL,93,41,4,subhead,Majjhimasīlaṃ,中戒,庄春江
NULL,93,42,100,bodytext,,,庄春江
NULL,93,43,100,bodytext,,,庄春江
NULL,93,44,100,bodytext,,,庄春江
NULL,93,45,100,bodytext,,,庄春江
NULL,93,46,100,bodytext,,,庄春江
NULL,93,47,100,bodytext,,,庄春江
NULL,93,48,100,bodytext,,,庄春江
NULL,93,49,100,bodytext,,,庄春江
NULL,93,50,100,bodytext,,,庄春江
NULL,93,51,100,bodytext,,,庄春江
NULL,93,52,100,centered,,,庄春江
NULL,93,53,4,subhead,Mahāsīlaṃ,大戒,庄春江
NULL,93,54,100,bodytext,,,庄春江
NULL,93,55,100,bodytext,,,庄春江
NULL,93,56,100,bodytext,,,庄春江
NULL,93,57,100,bodytext,,,庄春江
NULL,93,58,100,bodytext,,,庄春江
NULL,93,59,100,bodytext,,,庄春江
NULL,93,60,100,bodytext,,,庄春江
NULL,93,61,100,bodytext,,,庄春江
NULL,93,62,100,centered,,,庄春江
NULL,93,63,4,subhead,Pubbantakappikā,属于过去时间的,庄春江
NULL,93,64,100,bodytext,,,庄春江
NULL,93,65,100,bodytext,,,庄春江
NULL,93,66,4,subhead,Sassatavādo,恒常论,庄春江
NULL,93,67,100,bodytext,,,庄春江
NULL,93,68,100,bodytext,,,庄春江
NULL,93,69,100,bodytext,,,庄春江
NULL,93,70,100,bodytext,,,庄春江
NULL,93,71,100,bodytext,,,庄春江
NULL,93,72,100,bodytext,,,庄春江
NULL,93,73,100,bodytext,,,庄春江
NULL,93,74,100,bodytext,,,庄春江
NULL,93,75,100,bodytext,,,庄春江
NULL,93,76,100,bodytext,,,庄春江
NULL,93,77,100,bodytext,,,庄春江
NULL,93,78,100,centered,,,庄春江
NULL,93,79,4,subhead,Ekaccasassatavādo,某部分恒常论,庄春江
NULL,93,80,100,bodytext,,,庄春江
NULL,93,81,100,bodytext,,,庄春江
NULL,93,82,100,bodytext,,,庄春江
NULL,93,83,100,bodytext,,,庄春江
NULL,93,84,100,bodytext,,,庄春江
NULL,93,85,100,bodytext,,,庄春江
NULL,93,86,100,bodytext,,,庄春江
NULL,93,87,100,bodytext,,,庄春江
NULL,93,88,100,bodytext,,,庄春江
NULL,93,89,100,bodytext,,,庄春江
NULL,93,90,100,bodytext,,,庄春江
NULL,93,91,100,bodytext,,,庄春江
NULL,93,92,100,bodytext,,,庄春江
NULL,93,93,100,bodytext,,,庄春江
NULL,93,94,100,bodytext,,,庄春江
NULL,93,95,100,bodytext,,,庄春江
NULL,93,96,100,bodytext,,,庄春江
NULL,93,97,100,bodytext,,,庄春江
NULL,93,98,100,bodytext,,,庄春江
NULL,93,99,4,subhead,Antānantavādo,有边无边论,庄春江
NULL,93,100,100,bodytext,,,庄春江
NULL,93,101,100,bodytext,,,庄春江
NULL,93,102,100,bodytext,,,庄春江
NULL,93,103,100,bodytext,,,庄春江
NULL,93,104,100,bodytext,,,庄春江
NULL,93,105,100,bodytext,,,庄春江
NULL,93,106,100,bodytext,,,庄春江
NULL,93,107,100,bodytext,,,庄春江
NULL,93,108,100,bodytext,,,庄春江
NULL,93,109,100,bodytext,,,庄春江
NULL,93,110,100,bodytext,,,庄春江
NULL,93,111,4,subhead,Amarāvikkhepavādo,诡辩论,庄春江
NULL,93,112,100,bodytext,,,庄春江
NULL,93,113,100,bodytext,,,庄春江
NULL,93,114,100,bodytext,,,庄春江
NULL,93,115,100,bodytext,,,庄春江
NULL,93,116,100,bodytext,,,庄春江
NULL,93,117,100,bodytext,,,庄春江
NULL,93,118,4,subhead,Adhiccasamuppannavādo,自然生论,庄春江
NULL,93,119,100,bodytext,,,庄春江
NULL,93,120,100,bodytext,,,庄春江
NULL,93,121,100,bodytext,,,庄春江
NULL,93,122,100,bodytext,,,庄春江
NULL,93,123,100,bodytext,,,庄春江
NULL,93,124,100,bodytext,,,庄春江
NULL,93,125,100,bodytext,,,庄春江
NULL,93,126,100,centered,,,庄春江
NULL,93,127,4,subhead,Aparantakappikā,属于未来时间的,庄春江
NULL,93,128,100,bodytext,,,庄春江
NULL,93,129,4,subhead,Saññīvādo,有想论,庄春江
NULL,93,130,100,bodytext,,,庄春江
NULL,93,131,100,bodytext,,,庄春江
NULL,93,132,100,bodytext,,,庄春江
NULL,93,133,4,subhead,Asaññīvādo,无想论,庄春江
NULL,93,134,100,bodytext,,,庄春江
NULL,93,135,100,bodytext,,,庄春江
NULL,93,136,100,bodytext,,,庄春江
NULL,93,137,4,subhead,Nevasaññīnāsaññīvādo,非想非非想论,庄春江
NULL,93,138,100,bodytext,,,庄春江
NULL,93,139,100,bodytext,,,庄春江
NULL,93,140,100,bodytext,,,庄春江
NULL,93,141,4,subhead,Ucchedavādo,断灭论,庄春江
NULL,93,142,100,bodytext,,,庄春江
NULL,93,143,100,bodytext,,,庄春江
NULL,93,144,100,bodytext,,,庄春江
NULL,93,145,100,bodytext,,,庄春江
NULL,93,146,100,bodytext,,,庄春江
NULL,93,147,100,bodytext,,,庄春江
NULL,93,148,100,bodytext,,,庄春江
NULL,93,149,100,bodytext,,,庄春江
NULL,93,150,100,bodytext,,,庄春江
NULL,93,151,4,subhead,Diṭṭhadhammanibbānavādo,当生涅槃论,庄春江
NULL,93,152,100,bodytext,,,庄春江
NULL,93,153,100,bodytext,,,庄春江
NULL,93,154,100,bodytext,,,庄春江
NULL,93,155,100,bodytext,,,庄春江
NULL,93,156,100,bodytext,,,庄春江
NULL,93,157,100,bodytext,,,庄春江
NULL,93,158,100,bodytext,,,庄春江
NULL,93,159,100,bodytext,,,庄春江
NULL,93,160,100,bodytext,,,庄春江
NULL,93,161,100,bodytext,,,庄春江
NULL,93,162,100,bodytext,,,庄春江
NULL,93,163,100,bodytext,,,庄春江
NULL,93,164,4,subhead,Paritassitavipphanditavāro,（暂缺）,庄春江
NULL,93,165,100,bodytext,,,庄春江
NULL,93,166,100,bodytext,,,庄春江
NULL,93,167,100,bodytext,,,庄春江
NULL,93,168,100,bodytext,,,庄春江
NULL,93,169,100,bodytext,,,庄春江
NULL,93,170,100,bodytext,,,庄春江
NULL,93,171,100,bodytext,,,庄春江
NULL,93,172,100,bodytext,,,庄春江
NULL,93,173,100,bodytext,,,庄春江
NULL,93,174,100,bodytext,,,庄春江
NULL,93,175,100,bodytext,,,庄春江
NULL,93,176,100,bodytext,,,庄春江
NULL,93,177,100,bodytext,,,庄春江
NULL,93,178,4,subhead,Phassapaccayāvāro,以触为缘章,庄春江
NULL,93,179,100,bodytext,,,庄春江
NULL,93,180,100,bodytext,,,庄春江
NULL,93,181,100,bodytext,,,庄春江
NULL,93,182,100,bodytext,,,庄春江
NULL,93,183,100,bodytext,,,庄春江
NULL,93,184,100,bodytext,,,庄春江
NULL,93,185,100,bodytext,,,庄春江
NULL,93,186,100,bodytext,,,庄春江
NULL,93,187,100,bodytext,,,庄春江
NULL,93,188,100,bodytext,,,庄春江
NULL,93,189,100,bodytext,,,庄春江
NULL,93,190,100,bodytext,,,庄春江
NULL,93,191,100,bodytext,,,庄春江
NULL,93,192,4,subhead,Netaṃ ṭhānaṃ vijjativāro,这是不可能的章,庄春江
NULL,93,193,100,bodytext,,,庄春江
NULL,93,194,100,bodytext,,,庄春江
NULL,93,195,100,bodytext,,,庄春江
NULL,93,196,100,bodytext,,,庄春江
NULL,93,197,100,bodytext,,,庄春江
NULL,93,198,100,bodytext,,,庄春江
NULL,93,199,100,bodytext,,,庄春江
NULL,93,200,100,bodytext,,,庄春江
NULL,93,201,100,bodytext,,,庄春江
NULL,93,202,100,bodytext,,,庄春江
NULL,93,203,100,bodytext,,,庄春江
NULL,93,204,100,bodytext,,,庄春江
NULL,93,205,100,bodytext,,,庄春江
NULL,93,206,4,subhead,Diṭṭhigatikādhiṭṭhānavaṭṭakathā,到达见依处的轮回谈说,庄春江
NULL,93,207,100,bodytext,,,庄春江
NULL,93,208,4,subhead,Vivaṭṭakathādi,还灭之谈说等,庄春江
NULL,93,209,100,bodytext,,,庄春江
NULL,93,210,100,bodytext,,,庄春江
NULL,93,211,100,bodytext,,,庄春江
NULL,93,212,100,bodytext,,,庄春江
NULL,93,213,100,bodytext,,,庄春江
NULL,93,214,100,bodytext,,,庄春江
NULL,93,215,100,bodytext,,,庄春江
NULL,93,216,100,centered,,,庄春江
NULL,93,217,2,chapter,2. Sāmaññaphalasuttaṃ,2、沙门果经,庄春江
NULL,93,218,4,subhead,Rājāmaccakathā,国王大臣的谈论,庄春江
NULL,93,219,100,bodytext,,,庄春江
NULL,93,220,100,bodytext,,,庄春江
NULL,93,221,100,bodytext,,,庄春江
NULL,93,222,100,bodytext,,,庄春江
NULL,93,223,100,bodytext,,,庄春江
NULL,93,224,100,bodytext,,,庄春江
NULL,93,225,100,bodytext,,,庄春江
NULL,93,226,4,subhead,Komārabhaccajīvakakathā,养子耆婆的谈论,庄春江
NULL,93,227,100,bodytext,,,庄春江
NULL,93,228,100,bodytext,,,庄春江
NULL,93,229,100,bodytext,,,庄春江
NULL,93,230,100,bodytext,,,庄春江
NULL,93,231,100,bodytext,,,庄春江
NULL,93,232,4,subhead,Sāmaññaphalapucchā,沙门果的问题,庄春江
NULL,93,233,100,bodytext,,,庄春江
NULL,93,234,100,bodytext,,,庄春江
NULL,93,235,100,bodytext,,,庄春江
NULL,93,236,100,bodytext,,,庄春江
NULL,93,237,100,bodytext,,,庄春江
NULL,93,238,4,subhead,Pūraṇakassapavādo,富兰那迦叶之论,庄春江
NULL,93,239,100,bodytext,,,庄春江
NULL,93,240,100,bodytext,,,庄春江
NULL,93,241,100,bodytext,,,庄春江
NULL,93,242,4,subhead,Makkhaligosālavādo,末迦利瞿舍罗之论,庄春江
NULL,93,243,100,bodytext,,,庄春江
NULL,93,244,100,bodytext,,,庄春江
NULL,93,245,100,bodytext,,,庄春江
NULL,93,246,4,subhead,Ajitakesakambalavādo,阿夷多翅舍钦婆罗之论,庄春江
NULL,93,247,100,bodytext,,,庄春江
NULL,93,248,100,bodytext,,,庄春江
NULL,93,249,100,bodytext,,,庄春江
NULL,93,250,4,subhead,Pakudhakaccāyanavādo,浮陀迦旃延之论,庄春江
NULL,93,251,100,bodytext,,,庄春江
NULL,93,252,100,bodytext,,,庄春江
NULL,93,253,100,bodytext,,,庄春江
NULL,93,254,4,subhead,Nigaṇṭhanāṭaputtavādo,尼干子若提子之论,庄春江
NULL,93,255,100,bodytext,,,庄春江
NULL,93,256,100,bodytext,,,庄春江
NULL,93,257,100,bodytext,,,庄春江
NULL,93,258,4,subhead,Sañcayabelaṭṭhaputtavādo,散惹耶毗罗梨子之论,庄春江
NULL,93,259,100,bodytext,,,庄春江
NULL,93,260,100,bodytext,,,庄春江
NULL,93,261,100,bodytext,,,庄春江
NULL,93,262,4,subhead,Paṭhamasandiṭṭhikasāmaññaphalaṃ,第一个当生看得见的沙门果,庄春江
NULL,93,263,100,bodytext,,,庄春江
NULL,93,264,100,bodytext,,,庄春江
NULL,93,265,100,bodytext,,,庄春江
NULL,93,266,100,bodytext,,,庄春江
NULL,93,267,4,subhead,Dutiyasandiṭṭhikasāmaññaphalaṃ,第二个当生看得见的沙门果,庄春江
NULL,93,268,100,bodytext,,,庄春江
NULL,93,269,100,bodytext,,,庄春江
NULL,93,270,100,bodytext,,,庄春江
NULL,93,271,100,bodytext,,,庄春江
NULL,93,272,4,subhead,Paṇītatarasāmaññaphalaṃ,更胜妙的沙门果,庄春江
NULL,93,273,100,bodytext,,,庄春江
NULL,93,274,100,bodytext,,,庄春江
NULL,93,275,100,bodytext,,,庄春江
NULL,93,276,100,bodytext,,,庄春江
NULL,93,277,100,bodytext,,,庄春江
NULL,93,278,4,subhead,Cūḷasīlaṃ,小戒,庄春江
NULL,93,279,100,bodytext,,,庄春江
NULL,93,280,100,bodytext,,,庄春江
NULL,93,281,100,bodytext,,,庄春江
NULL,93,282,100,bodytext,,,庄春江
NULL,93,283,100,bodytext,,,庄春江
NULL,93,284,100,bodytext,,,庄春江
NULL,93,285,100,bodytext,,,庄春江
NULL,93,286,100,bodytext,,,庄春江
NULL,93,287,100,centered,,,庄春江
NULL,93,288,4,subhead,Majjhimasīlaṃ,中戒,庄春江
NULL,93,289,100,bodytext,,,庄春江
NULL,93,290,100,bodytext,,,庄春江
NULL,93,291,100,bodytext,,,庄春江
NULL,93,292,100,bodytext,,,庄春江
NULL,93,293,100,bodytext,,,庄春江
NULL,93,294,100,bodytext,,,庄春江
NULL,93,295,100,bodytext,,,庄春江
NULL,93,296,100,bodytext,,,庄春江
NULL,93,297,100,bodytext,,,庄春江
NULL,93,298,100,bodytext,,,庄春江
NULL,93,299,100,centered,,,庄春江
NULL,93,300,4,subhead,Mahāsīlaṃ,大戒,庄春江
NULL,93,301,100,bodytext,,,庄春江
NULL,93,302,100,bodytext,,,庄春江
NULL,93,303,100,bodytext,,,庄春江
NULL,93,304,100,bodytext,,,庄春江
NULL,93,305,100,bodytext,,,庄春江
NULL,93,306,100,bodytext,,,庄春江
NULL,93,307,100,bodytext,,,庄春江
NULL,93,308,100,bodytext,,,庄春江
NULL,93,309,100,centered,,,庄春江
NULL,93,310,4,subhead,Indriyasaṃvaro,根的自制,庄春江
NULL,93,311,100,bodytext,,,庄春江
NULL,93,312,4,subhead,Satisampajaññaṃ,正念与正知,庄春江
NULL,93,313,100,bodytext,,,庄春江
NULL,93,314,4,subhead,Santoso,知足,庄春江
NULL,93,315,100,bodytext,,,庄春江
NULL,93,316,4,subhead,Nīvaraṇappahānaṃ,（暂缺）,庄春江
NULL,93,317,100,bodytext,,,庄春江
NULL,93,318,100,bodytext,,,庄春江
NULL,93,319,100,bodytext,,,庄春江
NULL,93,320,100,bodytext,,,庄春江
NULL,93,321,100,bodytext,,,庄春江
NULL,93,322,100,bodytext,,,庄春江
NULL,93,323,100,bodytext,,,庄春江
NULL,93,324,100,bodytext,,,庄春江
NULL,93,325,100,bodytext,,,庄春江
NULL,93,326,100,bodytext,,,庄春江
NULL,93,327,4,subhead,Paṭhamajjhānaṃ,初禅,庄春江
NULL,93,328,100,bodytext,,,庄春江
NULL,93,329,100,bodytext,,,庄春江
NULL,93,330,4,subhead,Dutiyajjhānaṃ,第二禅,庄春江
NULL,93,331,100,bodytext,,,庄春江
NULL,93,332,100,bodytext,,,庄春江
NULL,93,333,4,subhead,Tatiyajjhānaṃ,第三禅,庄春江
NULL,93,334,100,bodytext,,,庄春江
NULL,93,335,100,bodytext,,,庄春江
NULL,93,336,4,subhead,Catutthajjhānaṃ,第四禅,庄春江
NULL,93,337,100,bodytext,,,庄春江
NULL,93,338,100,bodytext,,,庄春江
NULL,93,339,4,subhead,Vipassanāñāṇaṃ,毗婆舍那智,庄春江
NULL,93,340,100,bodytext,,,庄春江
NULL,93,341,100,bodytext,,,庄春江
NULL,93,342,4,subhead,Manomayiddhiñāṇaṃ,意生神通智,庄春江
NULL,93,343,100,bodytext,,,庄春江
NULL,93,344,100,bodytext,,,庄春江
NULL,93,345,4,subhead,Iddhividhañāṇaṃ,各种神通智,庄春江
NULL,93,346,100,bodytext,,,庄春江
NULL,93,347,100,bodytext,,,庄春江
NULL,93,348,4,subhead,Dibbasotañāṇaṃ,天耳智,庄春江
NULL,93,349,100,bodytext,,,庄春江
NULL,93,350,100,bodytext,,,庄春江
NULL,93,351,4,subhead,Cetopariyañāṇaṃ,他心智,庄春江
NULL,93,352,100,bodytext,,,庄春江
NULL,93,353,100,bodytext,,,庄春江
NULL,93,354,4,subhead,Pubbenivāsānussatiñāṇaṃ,前世住处之回忆智,庄春江
NULL,93,355,100,bodytext,,,庄春江
NULL,93,356,100,bodytext,,,庄春江
NULL,93,357,4,subhead,Dibbacakkhuñāṇaṃ,天眼智,庄春江
NULL,93,358,100,bodytext,,,庄春江
NULL,93,359,100,bodytext,,,庄春江
NULL,93,360,4,subhead,Āsavakkhayañāṇaṃ,烦恼之灭尽智,庄春江
NULL,93,361,100,bodytext,,,庄春江
NULL,93,362,100,bodytext,,,庄春江
NULL,93,363,4,subhead,Ajātasattuupāsakattapaṭivedanā,阿阇世-作为优婆塞的陈述,庄春江
NULL,93,364,100,bodytext,,,庄春江
NULL,93,365,100,bodytext,,,庄春江
NULL,93,366,100,bodytext,,,庄春江
NULL,93,367,100,bodytext,,,庄春江
NULL,93,368,100,centered,,,庄春江
NULL,93,369,2,chapter,3. Ambaṭṭhasuttaṃ,3、安玻德经,庄春江
NULL,93,370,100,bodytext,,,庄春江
NULL,93,371,4,subhead,Pokkharasātivatthu,玻科勒沙低的事,庄春江
NULL,93,372,100,bodytext,,,庄春江
NULL,93,373,4,subhead,Ambaṭṭhamāṇavo,安玻德学生婆罗门,庄春江
NULL,93,374,100,bodytext,,,庄春江
NULL,93,375,100,bodytext,,,庄春江
NULL,93,376,100,bodytext,,,庄春江
NULL,93,377,100,bodytext,,,庄春江
NULL,93,378,100,bodytext,,,庄春江
NULL,93,379,100,bodytext,,,庄春江
NULL,93,380,100,bodytext,,,庄春江
NULL,93,381,100,bodytext,,,庄春江
NULL,93,382,4,subhead,Paṭhamaibbhavādo,第一次卑贱说,庄春江
NULL,93,383,100,bodytext,,,庄春江
NULL,93,384,100,bodytext,,,庄春江
NULL,93,385,4,subhead,Dutiyaibbhavādo,第二次卑贱说,庄春江
NULL,93,386,100,bodytext,,,庄春江
NULL,93,387,4,subhead,Tatiyaibbhavādo,第三次卑贱说,庄春江
NULL,93,388,100,bodytext,,,庄春江
NULL,93,389,4,subhead,Dāsiputtavādo,婢女之子说,庄春江
NULL,93,390,100,bodytext,,,庄春江
NULL,93,391,100,bodytext,,,庄春江
NULL,93,392,100,bodytext,,,庄春江
NULL,93,393,100,bodytext,,,庄春江
NULL,93,394,100,bodytext,,,庄春江
NULL,93,395,100,bodytext,,,庄春江
NULL,93,396,100,bodytext,,,庄春江
NULL,93,397,100,bodytext,,,庄春江
NULL,93,398,100,bodytext,,,庄春江
NULL,93,399,100,bodytext,,,庄春江
NULL,93,400,100,bodytext,,,庄春江
NULL,93,401,100,bodytext,,,庄春江
NULL,93,402,4,subhead,Ambaṭṭhavaṃsakathā,安玻德的种姓说,庄春江
NULL,93,403,100,bodytext,,,庄春江
NULL,93,404,100,bodytext,,,庄春江
NULL,93,405,100,bodytext,,,庄春江
NULL,93,406,4,subhead,Khattiyaseṭṭhabhāvo,刹帝利的最胜性,庄春江
NULL,93,407,100,bodytext,,,庄春江
NULL,93,408,100,bodytext,,,庄春江
NULL,93,409,100,bodytext,,,庄春江
NULL,93,410,100,bodytext,,,庄春江
NULL,93,411,100,bodytext,,,庄春江
NULL,93,412,100,gatha1,,,庄春江
NULL,93,413,100,gatha2,,,庄春江
NULL,93,414,100,gatha3,,,庄春江
NULL,93,415,100,gathalast,,,庄春江
NULL,93,416,100,bodytext,,,庄春江
NULL,93,417,100,gatha1,,,庄春江
NULL,93,418,100,gatha2,,,庄春江
NULL,93,419,100,gatha3,,,庄春江
NULL,93,420,100,gathalast,,,庄春江
NULL,93,421,100,centered,,,庄春江
NULL,93,422,4,subhead,Vijjācaraṇakathā,明与行之说,庄春江
NULL,93,423,100,bodytext,,,庄春江
NULL,93,424,100,bodytext,,,庄春江
NULL,93,425,100,bodytext,,,庄春江
NULL,93,426,100,bodytext,,,庄春江
NULL,93,427,100,bodytext,,,庄春江
NULL,93,428,100,bodytext,,,庄春江
NULL,93,429,100,bodytext,,,庄春江
NULL,93,430,100,bodytext,,,庄春江
NULL,93,431,4,subhead,Catuapāyamukhaṃ,四个败散口,庄春江
NULL,93,432,100,bodytext,,,庄春江
NULL,93,433,100,bodytext,,,庄春江
NULL,93,434,100,bodytext,,,庄春江
NULL,93,435,100,bodytext,,,庄春江
NULL,93,436,100,bodytext,,,庄春江
NULL,93,437,100,bodytext,,,庄春江
NULL,93,438,100,bodytext,,,庄春江
NULL,93,439,100,bodytext,,,庄春江
NULL,93,440,100,bodytext,,,庄春江
NULL,93,441,100,bodytext,,,庄春江
NULL,93,442,4,subhead,Pubbakaisibhāvānuyogo,以前仙人状态的实行,庄春江
NULL,93,443,100,bodytext,,,庄春江
