id,book,par_num,100,class,title,text,author
NULL,94,3,1,book,Mahāvaggapāḷi,大品,莊春江
NULL,94,4,2,chapter,1. Mahāpadānasuttaṃ,14、譬喻大經,莊春江
NULL,94,5,4,subhead,Pubbenivāsapaṭisaṃyuttakathā,與前世住處有關的談說,莊春江
NULL,94,38,4,subhead,Bodhisattadhammatā,菩薩常法,莊春江
NULL,94,55,4,subhead,Dvattiṃsamahāpurisalakkhaṇā,三十二大丈夫相,莊春江
NULL,94,91,4,subhead,Vipassīsamaññā,毗婆屍的稱呼,莊春江
NULL,94,99,4,subhead,Jiṇṇapuriso,老年人,莊春江
NULL,94,104,4,subhead,Byādhitapuriso,病人,莊春江
NULL,94,110,4,subhead,Kālaṅkatapuriso,死人,莊春江
NULL,94,115,4,subhead,Pabbajito,出家,莊春江
NULL,94,119,4,subhead,Bodhisattapabbajjā,菩薩出家,莊春江
NULL,94,121,4,subhead,Mahājanakāyaanupabbajjā,大群衆跟隨出家,莊春江
NULL,94,125,4,subhead,Bodhisattaabhiniveso,菩薩-上安住,莊春江
NULL,94,153,4,subhead,Brahmayācanakathā,梵天勸請的談說,莊春江
NULL,94,185,4,subhead,Aggasāvakayugaṃ,最上雙弟子,莊春江
NULL,94,192,4,subhead,Mahājanakāyapabbajjā,大群衆的出家,莊春江
NULL,94,197,4,subhead,Purimapabbajitānaṃ dhammābhisamayo,最初出家者的現觀,莊春江
NULL,94,202,4,subhead,Cārikāanujānanaṃ,允許遊行,莊春江
NULL,94,219,4,subhead,Devatārocanaṃ,天神的告示,莊春江
NULL,94,229,2,chapter,2. Mahānidānasuttaṃ,15、大因緣經,莊春江
NULL,94,230,4,subhead,Paṭiccasamuppādo,緣起,莊春江
NULL,94,261,4,subhead,Attapaññatti,真我之安立,莊春江
NULL,94,267,4,subhead,Naattapaññatti,真我之不安立,莊春江
NULL,94,273,4,subhead,Attasamanupassanā,真我之認為,莊春江
NULL,94,280,4,subhead,Satta viññāṇaṭṭhiti,七識住,莊春江
NULL,94,283,4,subhead,Aṭṭha vimokkhā,（暫缺）,莊春江
NULL,94,287,2,chapter,3. Mahāparinibbānasuttaṃ,16、大般涅槃經,莊春江
NULL,94,290,4,subhead,Vassakārabrāhmaṇo,作雨者婆羅門,莊春江
NULL,94,292,4,subhead,Rājaaparihāniyadhammā,國王-不衰退法,莊春江
NULL,94,303,4,subhead,Bhikkhuaparihāniyadhammā,比丘-不衰退法,莊春江
NULL,94,340,4,subhead,Sāriputtasīhanādo,捨利弗的獅子吼,莊春江
NULL,94,348,4,subhead,Dussīlaādīnavā,破戒（壞品德）的過患,莊春江
NULL,94,355,4,subhead,Sīlavanttaānisaṃsā,持戒（有品德）的效益,莊春江
NULL,94,362,4,subhead,Pāṭaliputtanagaramāpanaṃ,華氏城的建築,莊春江
NULL,94,377,4,subhead,Ariyasaccakathā,聖諦的談說,莊春江
NULL,94,385,4,subhead,Anāvattidhammasambodhiparāyaṇā,不還者與以正覺為彼岸,莊春江
NULL,94,388,4,subhead,Dhammādāsadhammapariyāyā,法鏡法門,莊春江
NULL,94,401,4,subhead,Ambapālīgaṇikā,藝妓蓭婆巴利,莊春江
NULL,94,406,4,subhead,Veḷuvagāmavassūpagamanaṃ,在木瓜樹村進入雨季安居,莊春江
NULL,94,411,4,subhead,Nimittobhāsakathā,徵相與暗示的談說,莊春江
NULL,94,414,4,subhead,Mārayācanakathā,魔請求的談說,莊春江
NULL,94,421,4,subhead,Āyusaṅkhāraossajjanaṃ,壽行的捨棄,莊春江
NULL,94,425,4,subhead,Mahābhūmicālahetu,大地震的原因,莊春江
NULL,94,436,4,subhead,Aṭṭha parisā,八衆,莊春江
NULL,94,438,4,subhead,Aṭṭha abhibhāyatanāni,八勝處,莊春江
NULL,94,447,4,subhead,Aṭṭha vimokkhā,八解脫,莊春江
NULL,94,457,4,subhead,Ānandayācanakathā,阿難請求的談說,莊春江
NULL,94,476,4,subhead,Nāgāpalokitaṃ,龍象回顧,莊春江
NULL,94,484,4,subhead,Catumahāpadesakathā,四大法教,莊春江
NULL,94,491,4,subhead,Kammāraputtacundavatthu,鐵匠之子純陀的事,莊春江
NULL,94,501,4,subhead,Pānīyāharaṇaṃ,取水,莊春江
NULL,94,505,4,subhead,Pukkusamallaputtavatthu,末羅人之子晡古色的事,莊春江
NULL,94,537,4,subhead,Yamakasālā,雙沙羅樹,莊春江
