type,end,end1,end2,grammar,endlen
.f.,a,ābhi,bhi,.f.$.pl.$.abl.,1
.f.,a,āhi,hi,.f.$.pl.$.abl.,1
.f.,a,ā,ā,.f.$.pl.$.acc.,1
.f.,a,āyo,yo,.f.$.pl.$.acc.,1
.f.,a,ānaṃ,naṃ,.f.$.pl.$.dat.,1
.f.,a,ānaṃ,naṃ,.f.$.pl.$.gen.,1
.f.,a,ābhi,bhi,.f.$.pl.$.inst.,1
.f.,a,āhi,hi,.f.$.pl.$.inst.,1
.f.,a,āsu,su,.f.$.pl.$.loc.,1
.f.,a,ā,ā,.f.$.pl.$.nom.,1
.f.,a,āyo,yo,.f.$.pl.$.nom.,1
.f.,a,ā,ā,.f.$.pl.$.voc.,1
.f.,a,āyo,yo,.f.$.pl.$.voc.,1
.f.,a,ato,to,.f.$.sg.$.abl.,1
.f.,a,āya,ya,.f.$.sg.$.abl.,1
.f.,a,aṃ,ṃ,.f.$.sg.$.acc.,1
.f.,a,āya,ya,.f.$.sg.$.dat.,1
.f.,a,āya,ya,.f.$.sg.$.gen.,1
.f.,a,āya,ya,.f.$.sg.$.inst.,1
.f.,a,āya,ya,.f.$.sg.$.loc.,1
.f.,a,āyaṃ,yaṃ,.f.$.sg.$.loc.,1
.f.,a,ā,a,.f.$.sg.$.nom.,1
.f.,a,ā,a,.f.$.sg.$.voc.,1
.f.,a,e,e,.f.$.sg.$.voc.,1
.m.,a,ebhi,ebhi,.m.$.pl.$.abl.,1
.m.,a,ehi,ehi,.m.$.pl.$.abl.,1
.m.,a,e,e,.m.$.pl.$.acc.,1
.m.,a,anaṃ,naṃ,.m.$.pl.$.dat.,1
.m.,a,anaṃ,naṃ,.m.$.pl.$.gen.,1
.m.,a,ebhi,ebhi,.m.$.pl.$.inst.,1
.m.,a,ehi,ehi,.m.$.pl.$.inst.,1
.m.,a,esu,su,.m.$.pl.$.loc.,1
.m.,a,ā,ā,.m.$.pl.$.nom.,1
.m.,a,āse,āse,.m.$.pl.$.nom.,1
.m.,a,ā,ā,.m.$.pl.$.voc.,1
.m.,a,ā,ā,.m.$.sg.$.abl.,1
.m.,a,amhā,mhā,.m.$.sg.$.abl.,1
.m.,a,asmā,smā,.m.$.sg.$.abl.,1
.m.,a,ato,to,.m.$.sg.$.abl.,1
.m.,a,aṃ,ṃ,.m.$.sg.$.acc.,1
.m.,a,assa,ssa,.m.$.sg.$.dat.,1
.m.,a,āya,ya,.m.$.sg.$.dat.,1
.m.,a,assa,ssa,.m.$.sg.$.gen.,1
.m.,a,ena,ina,.m.$.sg.$.inst.,1
.m.,a,amhi,mhi,.m.$.sg.$.loc.,1
.m.,a,asmiṃ,smiṃ,.m.$.sg.$.loc.,1
.m.,a,e,e,.m.$.sg.$.loc.,1
.m.,a,o,o,.m.$.sg.$.nom.,1
.m.,a,a,a,.m.$.sg.$.voc.,1
.m.,a,ā,ā,.m.$.sg.$.voc.,1
.nt.,a,ebhi,ebhi,.nt.$.pl.$.abl.,1
.nt.,a,ehi,ehi,.nt.$.pl.$.abl.,1
.nt.,a,āni,ni,.nt.$.pl.$.acc.,1
.nt.,a,e,e,.nt.$.pl.$.acc.,1
.nt.,a,ānaṃ,naṃ,.nt.$.pl.$.dat.,1
.nt.,a,ānaṃ,naṃ,.nt.$.pl.$.gen.,1
.nt.,a,ebhi,ebhi,.nt.$.pl.$.inst.,1
.nt.,a,ehi,ehi,.nt.$.pl.$.inst.,1
.nt.,a,esu,su,.nt.$.pl.$.loc.,1
.nt.,a,ā,a,.nt.$.pl.$.nom.,1
.nt.,a,āni,ni,.nt.$.pl.$.nom.,1
.nt.,a,ā,ā,.nt.$.pl.$.voc.,1
.nt.,a,āni,ni,.nt.$.pl.$.voc.,1
.nt.,a,ā,ā,.nt.$.sg.$.abl.,1
.nt.,a,amhā,mhā,.nt.$.sg.$.abl.,1
.nt.,a,asmā,smā,.nt.$.sg.$.abl.,1
.nt.,a,ato,to,.nt.$.sg.$.abl.,1
.nt.,a,aṃ,ṃ,.nt.$.sg.$.acc.,1
.nt.,a,assa,ssa,.nt.$.sg.$.dat.,1
.nt.,a,āya,āya,.nt.$.sg.$.dat.,1
.nt.,a,assa,ssa,.nt.$.sg.$.gen.,1
.nt.,a,ena,ina,.nt.$.sg.$.inst.,1
