#,sinhala,1,,
summary,pali to sinhala,2,,
font,times,3,,
size,90%,4,,
author,visudhinanda,5,,
data,19-11-17,6,,
#,,7,,
khra,ඛ්‍ර,42,kh,ra
khrā,ඛ්‍රා,43,kh,rā
khya,ඛ්‍ය,44,kh,ya
khyā,ඛ්‍යා,45,kh,yā
ghra,ඝ්‍ර,70,gh,ra
ghrā,ඝ්‍රා,71,gh,rā
ghya,ඝ්‍ය,72,gh,ya
ghyā,ඝ්‍යා,73,gh,yā
chra,ඡ්‍ර,98,ch,ra
chrā,ඡ්‍රා,99,ch,rā
chya,ඡ්‍ය,100,ch,ya
chyā,ඡ්‍යා,101,ch,yā
jhra,ඣ්‍ර,126,jh,ra
jhrā,ඣ්‍රා,127,jh,rā
jhya,ඣ්‍ය,128,jh,ya
jhyā,ඣ්‍යා,129,jh,yā
ṭhra,ඨ්‍ර,168,ṭh,ra
ṭhrā,ඨ්‍රා,169,ṭh,rā
ṭhya,ඨ්‍ය,170,ṭh,ya
ṭhyā,ඨ්‍යා,171,ṭh,yā
ḍhra,ඪ්‍ර,196,ḍh,ra
ḍhrā,ඪ්‍රා,197,ḍh,rā
ḍhya,ඪ්‍ය,198,ḍh,ya
ḍhyā,ඪ්‍යා,199,ḍh,yā
thra,ථ්‍ර,238,th,ra
thrā,ථ්‍රා,239,th,rā
thya,ථ්‍ය,240,th,ya
thyā,ථ්‍යා,241,th,yā
dhra,ධ්‍ර,266,dh,ra
dhrā,ධ්‍රා,267,dh,rā
dhya,ධ්‍ය,268,dh,ya
dhyā,ධ්‍යා,269,dh,yā
phra,ඵ්‍ර,308,ph,ra
phrā,ඵ්‍රා,309,ph,rā
phya,ඵ්‍ය,310,ph,ya
phyā,ඵ්‍යා,311,ph,yā
bhra,භ්‍ර,336,bh,ra
bhrā,භ්‍රා,337,bh,rā
bhya,භ්‍ය,338,bh,ya
bhyā,භ්‍යා,339,bh,yā
kra,ක්‍ර,27,,
krā,ක්‍රා,28,,
kya,ක්‍ය,29,,
kyā,ක්‍යා,30,,
rka,ර්‍ක,31,,
kha,ඛ,34,kh,a
khā,ඛා,35,kh,ā
khi,ඛි,36,kh,i
khī,ඛී,37,kh,ī
khu,ඛු,38,kh,u
khū,ඛූ,39,kh,ū
khe,ඛේ,40,kh,e
kho,ඛෝ,41,kh,o
gra,ග්‍ර,56,g,ra
grā,ග්‍රා,57,g,rā
gya,ග්‍ය,58,g,ya
gyā,ග්‍යා,59,g,yā
gha,ඝ,62,gh,a
ghā,ඝා,63,gh,ā
ghi,ඝි,64,gh,i
ghī,ඝී,65,gh,ī
ghu,ඝු,66,gh,u
ghū,ඝූ,67,gh,ū
ghe,ඝේ,68,gh,e
gho,ඝෝ,69,gh,o
cra,ච්‍ර,84,c,ra
crā,ච්‍රා,85,c,rā
cya,ච්‍ය,86,c,ya
cyā,ච්‍යා,87,c,yā
cha,ඡ,90,ch,a
chā,ඡා,91,ch,ā
chi,ඡි,92,ch,i
chī,ඡී,93,ch,ī
chu,ඡු,94,ch,u
chū,ඡූ,95,ch,ū
che,ඡේ ,96,ch,e
cho,ඡෝ,97,ch,o
jra,ජ්‍ර,112,j,ra
jrā,ජ්‍රා,113,j,rā
jya,ජ්‍ය,114,j,ya
jyā,ජ්‍යා,115,j,yā
jha,ඣ,118,jh,a
jhā,ඣා,119,jh,ā
jhi,ඣි,120,jh,i
jhī,ඣී,121,jh,ī
jhu,ඣු,122,jh,u
jhū,ඣූ,123,jh,ū
jhe,ඣේ,124,jh,e
jho,ඣෝ,125,jh,o
ñra,ඤ්‍ර,140,ñ,ra
ñrā,ඤ්‍රා,141,ñ,rā
ñya,ඤ්‍ය,142,ñ,ya
ñyā,ඤ්‍යා,143,ñ,yā
ṭra,ට්‍ර,154,ṭ,ra
ṭrā,ට්‍රා,155,ṭ,rā
ṭya,ට්‍ය,156,ṭ,ya
ṭyā,ට්‍යා,157,ṭ,yā
ṭha,ඨ,160,ṭh,a
ṭhā,ඨා,161,ṭh,ā
ṭhi,ඨි,162,ṭh,i
ṭhī,ඨී,163,ṭh,ī
ṭhu,ඨු,164,ṭh,u
ṭhū,ඨූ,165,ṭh,ū
ṭhe,ඨේ,166,ṭh,e
ṭho,ඨෝ,167,ṭh,o
ḍra,ඩ්‍ර,182,ḍ,ra
ḍrā,ඩ්‍රා,183,ḍ,rā
ḍya,ඩ්‍ය,184,ḍ,ya
ḍyā,ඩ්‍යා,185,ḍ,yā
ḍha,ඪ,188,ḍh,a
ḍhā,ඪා,189,ḍh,ā
ḍhi,ඪි,190,ḍh,i
ḍhī,ඪී,191,ḍh,ī
ḍhu,ඪු,192,ḍh,u
ḍhū,ඪූ,193,ḍh,ū
ḍhe,ඪේ,194,ḍh,e
ḍho,ඪෝ,195,ḍh,o
ṇra,ණ්‍ර,210,ṇ,ra
ṇrā,ණ්‍රා,211,ṇ,rā
ṇya,ණ්‍ය,212,ṇ,ya
ṇyā,ණ්‍යා,213,ṇ,yā
tra,ත්‍ර,224,t,ra
trā,ත්‍රා,225,t,rā
tya,ත්‍ය,226,t,ya
tyā,ත්‍යා,227,t,yā
tha,ථ,230,th,a
thā,ථා,231,th,ā
thi,ථී,232,th,i
thī,ථී,233,th,ī
thu,ථු,234,th,u
thū,ථූ,235,th,ū
the,ථේ,236,th,e
tho,ථෝ,237,th,o
dra,ද්‍ර,252,d,ra
drā,ද්‍රා,253,d,rā
dya,ද්‍ය,254,d,ya
dyā,ද්‍යා,255,d,yā
dha,ධ,258,dh,a
dhā,ධා,259,dh,ā
dhi,ධි,260,dh,i
dhī,ධී,261,dh,ī
dhu,ධු,262,dh,u
dhū,ධූ,263,dh,ū
dhe,ධේ,264,dh,e
dho,ධෝ,265,dh,o
nra,න්‍ර,280,n,ra
nrā,න්‍රා,281,n,rā
nya,න්‍ය,282,n,ya
nyā,න්‍යා,283,n,yā
pra,ප්‍ර,294,p,ra
prā,ප්‍රා,295,p,rā
pya,ප්‍ය,296,p,ya
pyā,ප්‍යා,297,p,yā
pha,ඵ,300,ph,a
phā,ඵා,301,ph,ā
phi,ඵි,302,ph,i
phī,ඵී,303,ph,ī
phu,ඵු,304,ph,u
phū,ඵූ,305,ph,ū
phe,පේ,306,ph,e
pho,පෝ,307,ph,o
bra,බ්‍ර,322,b,ra
