id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
1,amha,.pron:base.,,,我,,,,1,100,4,irregular,zh-hans
2,arahant,.n:base.,,arahati,阿拉漢,,,,1,100,7,irregular,zh-hans
3,ta,.pron:base.,,,其,,,,1,100,2,irregular,zh-hans
4,ya,.pron:base.,,,凡…者$任何$任何人$任何事,,,,1,100,2,irregular,zh-hans
5,amha,.pron:base.,,,I,,,,1,100,4,irregular,cm
6,arahant,.n:base.,,arahati,arahant,,,,1,100,7,irregular,cm
7,ta,.pron:base.,,,that,,,,1,100,2,irregular,cm
8,ya,.pron:base.,,,which$who$that,,,,1,100,2,irregular,cm
9,ahaṃ,.pron.,.1p.$.sg.$.nom.,amha,,,,,1,100,4,irregular,cm
10,amhākaṃ,.pron.,.1p.$.pl.$.acc.,amha,,,,,1,100,7,irregular,cm
11,amhākaṃ,.pron.,.1p.$.pl.$.dat.,amha,,,,,1,100,7,irregular,cm
12,amhākaṃ,.pron.,.1p.$.pl.$.gen.,amha,,,,,1,100,7,irregular,cm
13,amhaṃ,.pron.,.1p.$.pl.$.dat.,amha,,,,,1,100,5,irregular,cm
14,amhaṃ,.pron.,.1p.$.pl.$.gen.,amha,,,,,1,100,5,irregular,cm
15,amhe,.pron.,.1p.$.pl.$.acc.,amha,,,,,1,100,4,irregular,cm
16,amhe,.pron.,.1p.$.pl.$.nom.,amha,,,,,1,100,4,irregular,cm
17,amhebhi,.pron.,.1p.$.pl.$.abl.,amha,,,,,1,100,7,irregular,cm
18,amhebhi,.pron.,.1p.$.pl.$.inst.,amha,,,,,1,100,7,irregular,cm
19,amhehi,.pron.,.1p.$.pl.$.abl.,amha,,,,,1,100,6,irregular,cm
20,amhehi,.pron.,.1p.$.pl.$.inst.,amha,,,,,1,100,6,irregular,cm
21,amhesu,.pron.,.1p.$.pl.$.loc.,amha,,,,,1,100,6,irregular,cm
22,asmākaṃ,.pron.,.1p.$.pl.$.dat.,amha,,,,,1,100,7,irregular,cm
23,asmākaṃ,.pron.,.1p.$.pl.$.gen.,amha,,,,,1,100,7,irregular,cm
24,asmāsu,.pron.,.1p.$.pl.$.loc.,amha,,,,,1,100,6,irregular,cm
25,asme,.pron.,.1p.$.pl.$.acc.,amha,,,,,1,100,4,irregular,cm
26,maṃ,.pron.,.1p.$.sg.$.acc.,amha,,,,,1,100,3,irregular,cm
