id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
100001,dassanavasenāti,.un.,,,,,dassanavasenā+iti,,1,60,15,union,cm
100002,dassanenapahātabbahetukāti,.un.,,,,,dassanenapahātabbahetukā+iti,,1,60,26,union,cm
100003,dassitanayāti,.un.,,,,,dassitanayā+iti,,1,60,13,union,cm
100004,dassitasippāti,.un.,,,,,dassitasippā+iti,,1,60,14,union,cm
100005,dassitāyevāti,.un.,,,,,dassitā+eva+iti,,1,60,13,union,cm
100006,davāyāti,.un.,,,,,davāyā+iti,,1,60,8,union,cm
100007,dāyādāti,.un.,,,,,dāyādā+iti,,1,60,8,union,cm
100008,dāyakasampadāti,.un.,,,,,dāyakasampadā+iti,,1,60,15,union,cm
100009,dāyakāti,.un.,,,,,dāyakā+iti,,1,60,8,union,cm
100010,dayāti,.un.,,,,,dayā+iti,,1,60,6,union,cm
100011,dayhitthāti,.un.,,,,,dayhitthā+iti,,1,60,11,union,cm
100012,desanāñāṇañcāti,.un.,,,,,desanāñāṇaṃ+ca+iti,,1,80,15,union,cm
100013,desanāpaṭivedhāti,.un.,,,,,desanāpaṭivedhā+iti,,1,60,17,union,cm
100014,desāpetabbāti,.un.,,,,,desāpetabbā+iti,,1,60,13,union,cm
100015,desentassāti,.un.,,,,,desentassā+iti,,1,60,12,union,cm
100016,detiyevāti,.un.,,,,,deti+eva+iti,,1,80,10,union,cm
100017,devadhītāti,.un.,,,,,devadhītā+iti,,1,60,11,union,cm
100018,devanikāyāti,.un.,,,,,devanikāyā+iti,,1,60,12,union,cm
100019,devaputtāti,.un.,,,,,devaputtā+iti,,1,60,11,union,cm
100020,dhammacakkhupaṭilābhassāti,.un.,,,,,dhammacakkhupaṭilābhassā+iti,,1,60,26,union,cm
100021,dhammacariyāsamacariyāti,.un.,,,,,dhammacariyāsamacariyā+iti,,1,60,24,union,cm
100022,dhammadāyādatāti,.un.,,,,,dhammadāyādatā+iti,,1,60,16,union,cm
100023,dhammadesanāmattavasenevāti,.un.,,,,,dhammadesanāmattavasenevā+iti,,1,60,27,union,cm
100024,dhammaguttikāti,.un.,,,,,dhammaguttikā+iti,,1,60,15,union,cm
100025,dhammakathāti,.un.,,,,,dhammakathā+iti,,1,60,13,union,cm
100026,dhammamaññāyāti,.un.,,,,,dhammamaññāyā+iti,,1,60,15,union,cm
100027,dhammaniruttipaṭisambhidāti,.un.,,,,,dhammaniruttipaṭisambhidā+iti,,1,60,27,union,cm
100028,dhammapaṭisambhidāti,.un.,,,,,dhammapaṭisambhidā+iti,,1,60,20,union,cm
100029,dhammarāgenāti,.un.,,,,,dhammarāgenā+iti,,1,60,14,union,cm
100030,dhammārammaṇāti,.un.,,,,,dhammārammaṇā+iti,,1,60,15,union,cm
100031,dhammasākacchāti,.un.,,,,,dhammasākacchā+iti,,1,60,16,union,cm
100032,dhammasāmaggiyāti,.un.,,,,,dhammasāmaggiyā+iti,,1,60,17,union,cm
100033,dhammasaṃvegavasenāti,.un.,,,,,dhammasaṃvegavasenā+iti,,1,60,21,union,cm
100034,dhammatāsiddhamevāti,.un.,,,,,dhammatāsiddhaṃ+eva+iti,,1,80,20,union,cm
100035,dhammatāvesāti,.un.,,,,,dhammatāvesā+iti,,1,60,14,union,cm
100036,dhammavasenāti,.un.,,,,,dhammavasenā+iti,,1,60,14,union,cm
100037,dhammayuttāti,.un.,,,,,dhammayuttā+iti,,1,60,13,union,cm
100038,dhammiyāti,.un.,,,,,dhammiyā+iti,,1,60,10,union,cm
100039,dhammonāmāti,.un.,,,,,dhammonāmā+iti,,1,60,12,union,cm
100040,dhanavāti,.un.,,,,,dhanavā+iti,,1,60,9,union,cm
100041,dhanenāti,.un.,,,,,dhanenā+iti,,1,60,9,union,cm
100042,dhaññenāti,.un.,,,,,dhaññenā+iti,,1,60,10,union,cm
100043,dhāraṇametassāti,.un.,,,,,dhāraṇametassā+iti,,1,60,16,union,cm
100044,dhāretabbāti,.un.,,,,,dhāretabbā+iti,,1,60,12,union,cm
100045,dhāretāti,.un.,,,,,dhāretā+iti,,1,60,9,union,cm
100046,dhātudosanidānāti,.un.,,,,,dhātudosanidānā+iti,,1,60,17,union,cm
100047,dhātuparinibbānāti,.un.,,,,,dhātuparinibbānā+iti,,1,60,18,union,cm
100048,dhātusaddāti,.un.,,,,,dhātusaddā+iti,,1,60,12,union,cm
100049,dhātusaññāti,.un.,,,,,dhātusaññā+iti,,1,60,12,union,cm
100050,dhitimāti,.un.,,,,,dhitimā+iti,,1,60,9,union,cm
100051,dhitisampannāti,.un.,,,,,dhitisampannā+iti,,1,60,15,union,cm
100052,dhorayhāti,.un.,,,,,dhorayhā+iti,,1,60,10,union,cm
100053,dhovitabbāti,.un.,,,,,dhovitabbā+iti,,1,60,12,union,cm
100054,dhūmāyanāti,.un.,,,,,dhūmāyanā+iti,,1,60,11,union,cm
100055,dhutadhammāti,.un.,,,,,dhutadhammā+iti,,1,60,13,union,cm
100056,dhutavāti,.un.,,,,,dhutavā+iti,,1,60,9,union,cm
100057,dhuttāti,.un.,,,,,dhuttā+iti,,1,60,8,union,cm
100058,dhuvamhāti,.un.,,,,,dhuvamhā+iti,,1,60,10,union,cm
100059,dibbacakkhunāti,.un.,,,,,dibbacakkhunā+iti,,1,60,15,union,cm
100060,dīghāyukatāti,.un.,,,,,dīghāyukatā+iti,,1,60,13,union,cm
100061,diguṇatāti,.un.,,,,,diguṇatā+iti,,1,60,10,union,cm
100062,diguṇāti,.un.,,,,,diguṇā+iti,,1,60,8,union,cm
100063,dinnattāti,.un.,,,,,dinnattā+iti,,1,60,10,union,cm
100064,disāyāti,.un.,,,,,disāyā+iti,,1,60,8,union,cm
100065,dissatevāti,.un.,,,,,dissatevā+iti,,1,60,11,union,cm
100066,diṭṭhadhammikāti,.un.,,,,,diṭṭhadhammikā+iti,,1,60,16,union,cm
100067,diṭṭhānevāti,.un.,,,,,diṭṭhānevā+iti,,1,60,12,union,cm
100068,diṭṭhavāti,.un.,,,,,diṭṭhavā+iti,,1,60,10,union,cm
100069,diṭṭhicaritāti,.un.,,,,,diṭṭhicaritā+iti,,1,60,14,union,cm
100070,diṭṭhivisayāti,.un.,,,,,diṭṭhivisayā+iti,,1,60,14,union,cm
100071,divasāti,.un.,,,,,divasā+iti,,1,60,8,union,cm
100072,divāseyyāti,.un.,,,,,divāseyyā+iti,,1,60,11,union,cm
100073,domanassavasenāti,.un.,,,,,domanassavasenā+iti,,1,60,17,union,cm
100074,dosāropanāti,.un.,,,,,dosāropanā+iti,,1,60,12,union,cm
100075,dosavigamenāti,.un.,,,,,dosavigamenā+iti,,1,60,14,union,cm
100076,dubbalabhāvenāti,.un.,,,,,dubbalabhāvenā+iti,,1,60,16,union,cm
100077,dubbalahadayavatthukattāti,.un.,,,,,dubbalahadayavatthukattā+iti,,1,60,26,union,cm
100078,dubbalamevāti,.un.,,,,,dubbalaṃ+eva+iti,,1,80,13,union,cm
100079,dubbalattāti,.un.,,,,,dubbalattā+iti,,1,60,12,union,cm
100080,dubbhāsitamevāti,.un.,,,,,dubbhāsitaṃ+eva+iti,,1,80,16,union,cm
100081,dubbinivattāti,.un.,,,,,dubbinivattā+iti,,1,60,14,union,cm
100082,dubbiññeyyāti,.un.,,,,,dubbiññeyyā+iti,,1,60,13,union,cm
100083,dubbodhāti,.un.,,,,,dubbodhā+iti,,1,60,10,union,cm
100084,dukamātikāti,.un.,,,,,dukamātikā+iti,,1,60,12,union,cm
100085,dukañcāti,.un.,,,,,dukaṃ+ca+iti,,1,80,9,union,cm
100086,dukkhadhammāti,.un.,,,,,dukkhadhammā+iti,,1,60,14,union,cm
100087,dukkhakkhayādhigamāyāti,.un.,,,,,dukkhakkhayādhigamāyā+iti,,1,60,23,union,cm
100088,dukkhamupekkhāti,.un.,,,,,dukkhamupekkhā+iti,,1,60,16,union,cm
100089,dukkhanirodhagāminīpaṭipadāti,.un.,,,,,dukkhanirodhagāminīpaṭipadā+iti,,1,60,29,union,cm
100090,dukkhanirodhāti,.un.,,,,,dukkhanirodhā+iti,,1,60,15,union,cm
100091,dukkhasaccamevāti,.un.,,,,,dukkhasaccaṃ+eva+iti,,1,80,17,union,cm
100092,dukkhassantakiriyāyāti,.un.,,,,,dukkhassantakiriyāyā+iti,,1,60,22,union,cm
100093,dukkhatarāti,.un.,,,,,dukkhatarā+iti,,1,60,12,union,cm
100094,dukkhavatthubhūtāti,.un.,,,,,dukkhavatthubhūtā+iti,,1,60,19,union,cm
100095,dukkhavedanāti,.un.,,,,,dukkhavedanā+iti,,1,60,14,union,cm
