jp,1,パーリ语辞典-增补,パーリ语辞典 增补改订 日本水野弘元教授 词数 3293.
en,2,Pali Myanmar Dictionary,Pali Word Grammar from Pali Myanmar Dictionary
en,3,Concise P-E Dict,"Concise Pali-English Dictionary by A.P. Buddhadatta Mahathera"";"
zh-hans,4,《巴汉词典》,《巴汉词典》Mahāñāṇo Bhikkhu编著
vn,5,Pali Viet Abhi- Terms,"Pali Viet Abhidhamma Terms  Từ điển các thuật ngữ Vô Tỷ Pháp của ngài Tịnh Sự, được chép từ phần ghi chú thuật ngữ trong các bản dịch của ngài."
zh-hans,6,《巴汉词典》增订,《巴汉词典》明法比丘增订
zh-hans,7,巴利语字汇,四念住课程开示集要巴利语字汇(葛印卡)
zh-hant,8,汉译パーリ语辞典-黃秉榮,汉译パーリ语辞典 黃秉榮譯 词数 7735.
en,9,Pali-Dict Vri,Pali-Dictionary Vipassana Research Institute
zh-hant,10,パーリ语辞典--勘误表  ,《水野弘元--巴利语辞典--勘误表》 Bhikkhu Santagavesaka 覓寂尊者 2007.8.2 词数 90.
my,11,Tipiṭaka Pāḷi-Myanmar,Tipiṭaka Pāḷi-Myanmar Dictionary တိပိဋက-ပါဠိမြန်မာ အဘိဓာန်
zh-hans,12,巴利语汇解,巴利语汇解&巴利新音译 玛欣德尊者
en,13,Buddhist Dictionary,Buddhist Dictionary by NYANATILOKA MAHATHERA
my,14,Pali Roots Dictionary,Pali Roots Dictionary ဓါတ်အဘိဓာန်
en,15,PTS P-E dictionary ,PTS Pali-English dictionary The Pali Text Society's Pali-English dictionary
vn,16,Pali Viet Vinaya Terms,Pali Viet Vinaya Terms  Từ điển các thuật ngữ về luật do tỳ khưu Giác Nguyên sưu tầm.
my,17,U Hau Sein’s Pāḷi-Myanmar,U Hau Sein’s Pāḷi-Myanmar Dictionary ပါဠိမြန်မာ အဘိဓာန်(ဦးဟုတ်စိန်)
jp,18,パーリ语辞典,パーリ语辞典 日本水野弘元教授 词数 13772.
zh-hant,19,汉译パーリ语辞典-李瑩,汉译パーリ语辞典 李瑩譯 词数 708.
vn,20,Pali Viet Dictionary,Pali Viet Dictionary  Bản dịch của ngài Bửu Chơn.
en,21,Pali Proper Names Dict,Buddhist Dictionary of Pali Proper Names by G P Malalasekera
zh-hans,22,巴英术语汇编,巴英术语汇编 《法的医疗》附 温宗堃
zh-hans,23,《巴利语入门》,《巴利语入门》释性恩(Dhammajīvī)
zh-hans,24,巴汉佛学辞汇,巴利文-汉文佛学名相辞汇 翻译:张文明居士
zh-hant,26,巴利詞根,《論語法》中的巴利詞根
en,27,Pāḷi Root In Saddanīti,Pāḷi Root In Saddanīti
en,29,Critical Pāli Dictionary,Critical Pāli Dictionary
zh-hans,30,语法工具,
en,31,Gramma Book,
zh-hant,32,語法彙編,語法彙編 覓寂尊者
zh-hant,33,聖典語速成手冊,
en,34,Pāḷi Speed-up School,
my,35,U Hau Sein’s Pāḷi-Myanmar-Roma,U Hau Sein’s Pāḷi-Myanmar Dictionary ပါဠိမြန်မာ အဘိဓာန်(ဦးဟုတ်စိန်)
zh-hans,36,U Hau Sein’s Pāḷi-谷歌中文,
en,37,U Hau Sein’s Pāḷi-Google English,
