id,lang,sn,word_en,word,word2,note
221,zh,4,a,a,A,A，巴利文字母表的罗马化拼音第一个元音字母。发音好像汉语中去声的 a（p1）,1,1
222,zh,4,a-,a-,A-,A-，前缀 ā 在双子音之前的短化。例子：ā + kosati = akkosati； 名词、形容词和分词的否定前缀。例子：na + kusala = akusala； 一些过去式和条件语气的词素的增加前缀。例子：akāsi.（p1）,2,1
249,zh,4,a,ā,Ā,Ā，【无】 一直到，等于。 【介】 从，向。（p49）,1,1
250,zh,4,a,ā,Ā,Ā，巴利文字母表的罗马化拼音第二个元音字母。发音好像汉语中阴平的 a。（p49）,1,1
271,zh,4,ababa,ababa,Ababa,Ababa，【中】 一个地狱的名字（阿婆婆地狱），一个有76个零的数字。（p29）,5,1
287,zh,4,abaddha,abaddha,Abaddha,Abaddha，abandhana，【形】 无束缚的，自由的。（p29）,7,1
295,zh,4,abaddha,ābaddha,Ābaddha,Ābaddha，（ābandhati 的【过分】）。（p53）,7,1
355,zh,4,abadha,abādha,Abādha,Abādha，【形】 无碍的。（p29）,6,1
363,zh,4,abadha,ābādha,Ābādha,Ābādha，【阳】 疾病，痛苦。（p53）,6,1
420,zh,4,abadheti,ābādheti,Ābādheti,Ābādheti，（ā + badh + e），压迫，骚扰。 ~esi，【过】。（p53）,8,1
432,zh,4,abadhika,ābādhika,Ābādhika,Ābādhika，【形】 病人，染病。（p53）,8,1
450,zh,4,abadhita,ābādhita,Ābādhita,Ābādhita，（ābādheti 的【过分】），已痛苦，已压迫。（p53）,8,1
548,zh,4,abala,abala,Abala,Abala，【形】 弱的，微弱的。 ~lā，【阴】 女人。（p29）,5,1
597,zh,4,abandhaka,ābandhaka,Ābandhaka,Ābandhaka，【形】 绑，连接，安装。（p53）,9,1
646,zh,4,abandhati,ābandhati,Ābandhati,Ābandhati，（ā + bandh + a），绑，纠缠。 ābandhi，【过】。（p53）,9,1
709,zh,4,abbana,abbaṇa,Abbaṇa,Abbaṇa，【形】 无伤的。（p30）,6,1
722,zh,4,abbata,abbata,Abbata,Abbata，【形】 无道德的，不持戒的。（p30）,6,1
742,zh,4,abbha,abbha,Abbha,Abbha，【中】 天空，云。 ~kūṭa，【中】 暴风云的顶点。 ~paṭala，【中】 大量的云。（p30）,5,1
759,zh,4,abbhacikkhana,abbhācikkhana,Abbhācikkhana,Abbhācikkhana，【中】 控告，中伤。（p30）,13,1
776,zh,4,abbhacikkhati,abbhācikkhati,Abbhācikkhati,Abbhācikkhati，（abhi + ā + cikkh + a），责备，中伤，诽谤。 ~khi，【过】。（p30）,13,1
810,zh,4,abbhagamana,abbhāgamana,Abbhāgamana,Abbhāgamana，【中】 抵达，挺身而出。（p30）,11,1
821,zh,4,abbhagata,abbhāgata,Abbhāgata,Abbhāgata，【三】 客人，陌生人，【过分】 已到达。（p30）,9,1
848,zh,4,abbhahata,abbhāhata,Abbhāhata,Abbhāhata，（abbhāhanati 的【过分】），已攻击，已使痛苦，已折磨。（p30）,9,1
865,zh,4,abbhaka,abbhaka,Abbhaka,Abbhaka，【中】 石墨，粉状石墨。（p30）,7,1
879,zh,4,abbhakkhana,abbhakkhāna,Abbhakkhāna,Abbhakkhāna，【中】 诽谤，中伤 。（p30）,11,1
893,zh,4,abbhakkhati,abbhakkhāti,Abbhakkhāti,Abbhakkhāti，（abhi + ā + khā + a），中伤，反对。 ~khāsi，【过】。（p30）,11,1
981,zh,4,abbhanjana,abbhañjana,Abbhañjana,Abbhañjana，【中】 1. 涂抹，涂油。 2. 软膏。（p30）,10,1
999,zh,4,abbhanjati,abbhañjati,Abbhañjati,Abbhañjati，（abhi + añj + a），涂抹，润滑。~ñji，【过】。（p30）,10,1
1038,zh,4,abbhantara,abbhantara,Abbhantara,Abbhantara，【 中 】 里边，内部。【形】 内部的，内在的。 ~rika，【形】亲密朋友，心腹朋友，知己。（p30）,10,1
1198,zh,4,abbhanumodana,abbhanumodanā,Abbhanumodanā,Abbhanumodanā，【阴】 很感谢，随喜功德。（p30）,13,1
1268,zh,4,abbhatita,abbhatīta,Abbhatīta,Abbhatīta，【形】 经过的，过去的。（p30）,9,1
1353,zh,4,abbhokasa,abbhokāsa,Abbhokāsa,Abbhokāsa，【阳】 无庇护的地方，户外，露天。 ~kāsika，【阳】 住在户外的人。（p31）,9,1
1413,zh,4,abbhokinna,abbhokiṇṇa,Abbhokiṇṇa,Abbhokiṇṇa，【形】 拥挤的。（p31）,10,1
1419,zh,4,abbhokirana,abbhokiraṇa,Abbhokiraṇa,Abbhokiraṇa，【中】 1. 洒。 2. 舞者的运动。（p31）,11,1
1426,zh,4,abbhokirati,abbhokirati,Abbhokirati,Abbhokirati，（abhi + ava + kir + a），洒。 ~kiri，【过】。（p31）,11,1
1471,zh,4,abbhudeti,abbhudeti,Abbhudeti,Abbhudeti，（abhi + udi + e），升，形成。 ~esi，【过】。（p30）,9,1
1490,zh,4,abbhuggacchati,abbhuggacchati,Abbhuggacchati,Abbhuggacchati，（abhi + u + gam + a），升入，出去。 ~gacchi，【过】。（p30）,14,1
1506,zh,4,abbhuggamana,abbhuggamana,Abbhuggamana,Abbhuggamana，【中】 升起。（p30）,12,1
1538,zh,4,abbhuggirana,abbhuggiraṇa,Abbhuggiraṇa,Abbhuggiraṇa，【中】 挥。（p30）,12,1
1543,zh,4,abbhuggirati,abbhuggirati,Abbhuggirati,Abbhuggirati，（abhi + u + gir + a），以胁迫的方式升起手或挥动一些事物。~giri，【过】。（p30）,12,1
1558,zh,4,abbhukkirana,abbhukkiraṇa,Abbhukkiraṇa,Abbhukkiraṇa，【中】 抽出，洒。（p30）,12,1
1570,zh,4,abbhukkirati,abbhukkirati,Abbhukkirati,Abbhukkirati，（abhi + u + kir + a），洒。 ~kiri，【过】。（p30）,12,1
1591,zh,4,abbhumme,abbhumme,Abbhumme,Abbhumme，【叹】 唉！（p31）,8,1
