id,word,type,grammar,parent,mean,note,factors,factormean,status,confidence,strlen,source,language
670,abandhana,.adj:base.,,,无束缚的$自由的,,,,1,80,10,_PEPER_RICH_,zh-hans
671,abhijjamāna,.adj:base.,,,未打破的$未分开的,,,,1,100,12,_PEPER_RICH_,zh-hans
673,addhuva,.adj:base.,,,无永久,,a-dhuva,无+永久,1,100,8,_PEPER_RICH_,zh-hans
5631,adhas,.adv.,,,向下,(below,,,1,100,6,_PEPER_RICH_,zh-hans
3363,adhivattha,.adj:base.,.pp.,adhivasati,$滞留在…上,,,,1,100,11,_PEPER_RICH_,zh-hans
674,agāriya,.adj:base.,,,在家人$俗人,(a householder$layman),,,1,100,8,_PEPER_RICH_,zh-hans
675,alolupa,.adj:base.,,,不妄羡的$无贪的,,,,1,100,8,_PEPER_RICH_,zh-hans
677,amānusika,.adj:base.,,,非人,,,,1,100,10,_PEPER_RICH_,zh-hans
680,aneḷaka,.adj:base.,,,完美的$纯粹的,,,,1,100,8,_PEPER_RICH_,zh-hans
682,anugāmī,.adj:base.,,,追随的$追随者$信徒,,,,1,100,8,_PEPER_RICH_,zh-hans
683,anukampī,.adj:base.,,anukampati,慈悲的$体恤的$有同情心的人,,,,1,100,9,_PEPER_RICH_,zh-hans
678,anāmaṭṭha,.adj:base.,,,不接触的,,,,1,100,10,_PEPER_RICH_,zh-hans
679,anārambbha,.adj:base.,,,无骚动的$清净的,,,,1,100,11,_PEPER_RICH_,zh-hans
3364,anūpalitta,.adj:base.,.pp.,,$未全部涂染,,an+upalitta,,1,100,11,_PEPER_RICH_,zh-hans
685,apacāyī,.adj:base.,,,敬礼,,,,1,100,8,_PEPER_RICH_,zh-hans
687,aparādhī,.adj:base.,,,犯罪的$罪犯,,,,1,100,9,_PEPER_RICH_,zh-hans
688,apihālu,.adj:base.,,,不贪婪的,,,,1,100,8,_PEPER_RICH_,zh-hans
689,appaka,.adj:base.,,,小的$少的$无关重要的,,,,1,100,7,_PEPER_RICH_,zh-hans
690,appaṭihata,.adj:base.,,,未重击的$不阻隔的,,,,1,100,11,_PEPER_RICH_,zh-hans
691,apphuta,.adj:base.,,,不触及$不弥漫的,(untouched$unpervaded$not penetrated),,,1,100,8,_PEPER_RICH_,zh-hans
686,apādaka,.adj:base.,,,无足的$爬行的$匍匐的,,,,1,100,8,_PEPER_RICH_,zh-hans
695,asantāsī,.adj:base.,,,不发抖的$大胆的,,,,1,100,9,_PEPER_RICH_,zh-hans
696,asekkha,.adj:base.,,,无学(毕业者),,,,1,100,8,_PEPER_RICH_,zh-hans
697,asuka,.adj:base.,,,某某,,,,1,100,6,_PEPER_RICH_,zh-hans
698,atandī,.adj:base.,,,不懒惰的$活跃的,,,,1,100,7,_PEPER_RICH_,zh-hans
3365,avatiṇṇa,.adj:base.,.pp.,otarati,$已下降$已被困扰$已受影响$fallen into$affected with,,,,1,100,9,_PEPER_RICH_,zh-hans
5632,aññatra,.adv.,,,别的地方$其他的地方$则否$除了,(#=ṭhapetvā),,,1,100,8,_PEPER_RICH_,zh-hans
681,aññoñña,.adj:base.,,,相互的,,,,1,100,8,_PEPER_RICH_,zh-hans
672,aḍḍhateyya,.adj:base.,,,两个半,,,,1,100,11,_PEPER_RICH_,zh-hans
684,aṇusahagata,.adj:base.,,,剩余$残滓,,,,1,100,12,_PEPER_RICH_,zh-hans
702,bhavantagū,.adj:base.,,,中)停留的$逗留的$在某种情况中的,,,,1,100,11,_PEPER_RICH_,zh-hans
703,bhayāvaha,.adj:base.,,,可怕的$恐怖的,,,,1,100,10,_PEPER_RICH_,zh-hans
704,bhiṃsanaka,.adj:base.,,,恐怖的$可怕的$令人敬畏的,,,,1,100,11,_PEPER_RICH_,zh-hans
11658,bhukkāra,.n:base.,.m.,,$狗吠,$making “bhu$” i$e$bow~wow$barking j vi$355$bhukkaraṇasunakha,,,1,100,9,_PEPER_RICH_,zh-hans
705,bhīrika(‹bhī; cp. vedic bhīru),.adj:base.,,,$胆小的$恐怕的$懦弱的,,,,1,100,31,_PEPER_RICH_,zh-hans
706,bhūmaka,.adj:base.,,,中) 有楼层的,,,,1,100,8,_PEPER_RICH_,zh-hans
707,byatta,.adj:base.,,,学习的$完成的$显然的$明白的,,,,1,100,7,_PEPER_RICH_,zh-hans
708,carimaka,.adj:base.,,,最后的$后来的,,,,1,100,9,_PEPER_RICH_,zh-hans
709,catur,.adj:base.,,,四,,,,1,100,6,_PEPER_RICH_,zh-hans
5633,chadha,.adv.,,,以六个方式,(sixfold),,,1,100,7,_PEPER_RICH_,zh-hans
710,chaḷ(vedic sas &and saṭ(saḍ#=chaḷ)),.adj:base.,,,六,,,,1,100,36,_PEPER_RICH_,zh-hans
5634,cimaṃ﹐,.adv.,,,(以)长久地,,,,1,100,7,_PEPER_RICH_,zh-hans
711,cima﹐,.adj:base.,,,持久的,,,,1,100,6,_PEPER_RICH_,zh-hans
712,cintanaka,.adj:base.,,,考虑周到的$深思的,,,,1,100,10,_PEPER_RICH_,zh-hans
713,dassaneyya,.adj:base.,,,被认为美丽的$美丽的$英俊的,,,,1,100,11,_PEPER_RICH_,zh-hans
714,dhaññavantu,.adj:base.,,,幸福的$幸运的,,,,1,100,12,_PEPER_RICH_,zh-hans
715,divya,.adj:base.,,,天神的$天国的,,,,1,100,6,_PEPER_RICH_,zh-hans
717,"duratikkama ",.adj:base.,,,难通过的,,,,1,100,13,_PEPER_RICH_,zh-hans
716,durājāna,.adj:base.,,,难懂的$难知的,,,,1,100,9,_PEPER_RICH_,zh-hans
5635,dvattikkhattuṃ,.adv.,,,两三次,,,,1,100,15,_PEPER_RICH_,zh-hans
718,edisaka(sk. īdrwa),.adj:base.,,,如此的$像这样的,(such like$such),,,1,100,19,_PEPER_RICH_,zh-hans
719,ekacciya,.adj:base.,,,一些,(some)$某个(certain)$少许(a few),,,1,100,9,_PEPER_RICH_,zh-hans
720,gandhī,.adj:base.,,,芬芳的,,,,1,100,7,_PEPER_RICH_,zh-hans
721,gomī,.adj:base.,,,牛的主人,,,,1,100,5,_PEPER_RICH_,zh-hans
722,itara,.adj:base.,,,通过的$可变的$短的$摘要,(passing$changeable$short,,,1,100,6,_PEPER_RICH_,zh-hans
724,jeṭṭhaka,.adj:base.,,,年长的$至高的$最初的,,,,1,100,9,_PEPER_RICH_,zh-hans
725,jhāmaka,.adj:base.,,,燃烧的,(burning$on fire$conflagration),,,1,100,8,_PEPER_RICH_,zh-hans
723,jānapadika,.adj:base.,,,国家的,,,,1,100,11,_PEPER_RICH_,zh-hans
726,kammaniya﹐kammani(c.)﹐,.adj:base.,,,适合工作的$预备好的状态$易於使用的,,,,1,100,23,_PEPER_RICH_,zh-hans
11622,kasāva,.n:base.,.nt.,,袈裟$出家人的$衣,,,,1,100,7,_PEPER_RICH_,zh-hans
728,kaṅkhī(kaṅkhin)(sk. kāṅksin),.adj:base.,,,(意见等)动摇的$有疑心的人$犹豫不决的人,,,,1,100,29,_PEPER_RICH_,zh-hans
727,kaṇiya(‹kaṇ减),.adj:base.,,,最年轻的$出生的年纪较小者,,,,1,100,14,_PEPER_RICH_,zh-hans
5636,khaṇḍākhaṇḍikaṃ,.adv.,,,(打)碎,,,,1,100,16,_PEPER_RICH_,zh-hans
729,kolañña~(fr. kula),.adj:base.,,,生在良家,(born of(good) family(cp. kulaja),,,1,100,19,_PEPER_RICH_,zh-hans
730,koravya(sk. kauravya),.adj:base.,,,俱卢,(kuru﹐今印度德里附近) 的后裔$俱卢(kuru) 国家的,,,1,100,22,_PEPER_RICH_,zh-hans
731,kuhaka,.adj:base.,,,骗人的,,,,1,100,7,_PEPER_RICH_,zh-hans
5637,kutra,.adv.,,,哪里? 在何处?,,,,1,100,6,_PEPER_RICH_,zh-hans
5638,lahuso,.adv.,,,很快地,,,,1,100,7,_PEPER_RICH_,zh-hans
732,lokiya,.adj:base.,,,世间的$平凡的,,,,1,100,7,_PEPER_RICH_,zh-hans
733,macchariya,.adj:base.,,,悭$小气$吝啬$niggard,(不布施、少布施、布施少都可能是悭的表现),,,1,100,11,_PEPER_RICH_,zh-hans
736,malinaka,.adj:base.,,,肮脏的$沾染的$不纯的,,,,1,100,9,_PEPER_RICH_,zh-hans
737,manāpika,.adj:base.,,,令人喜爱的$迷人的,,,,1,100,9,_PEPER_RICH_,zh-hans
738,mañjeṭṭha(cp. *sk. mañjisṭhā indian madder),.adj:base.,,,淡红色的$橙色的,(crimson),,,1,100,44,_PEPER_RICH_,zh-hans
739,maṭṭha,.adj:base.,,,平滑的$擦亮的,,,,1,100,7,_PEPER_RICH_,zh-hans
740,missaka(orig. pp. of miw),.adj:base.,,,混合,(mixed),,,1,100,26,_PEPER_RICH_,zh-hans
741,mukhullokika﹐,.adj:base.,,,寻找他人的脸,(mukhaṃ ulloketi),,,1,100,14,_PEPER_RICH_,zh-hans
734,māgadhaka,.adj:base.,,,摩揭陀国的,,,,1,100,10,_PEPER_RICH_,zh-hans
735,mālī,.adj:base.,,,有花环的$有花的,,,,1,100,5,_PEPER_RICH_,zh-hans
742,nandaka,.adj:base.,,,庆祝的$欢庆的,,,,1,100,8,_PEPER_RICH_,zh-hans
743,nibbattanaka,.adj:base.,,,生产的$出现的$提出的,,,,1,100,13,_PEPER_RICH_,zh-hans
3366,nikantita,.adj:base.,.pp.,nikantati,$砍倒$切断,,,,1,100,10,_PEPER_RICH_,zh-hans
744,nirapekkha,.adj:base.,,,无关紧要的$不注意的$不顾的,,,,1,100,11,_PEPER_RICH_,zh-hans
745,niratthaka,.adj:base.,,,无用的$不精通的$徒然的,,,,1,100,11,_PEPER_RICH_,zh-hans
746,niyaka(sk. nija),.adj:base.,,,自己的,,,,1,100,17,_PEPER_RICH_,zh-hans
747,nudaka,.adj:base.,,,驱逐,,,,1,100,7,_PEPER_RICH_,zh-hans
3367,ocita,.adj:base.,.pp.,ocināti,$已聚集$已收集,,,,1,100,6,_PEPER_RICH_,zh-hans
748,ogādha(‹gāh see gādha1 &and gāhati；梵avagāḍha),.adj:base.,,,沉浸的,(diving$immersed$merging into)$潜入的(plunging into),,,1,100,46,_PEPER_RICH_,zh-hans
749,olambaka,.adj:base.,,,垂下的,,,,1,100,9,_PEPER_RICH_,zh-hans
