id,page,word,note
1,1,က,page-1
22,1,ကကတိုး,page-1
24,1,ကကတစ်,page-1
26,1,ကကလောင်,page-1
27,1,ကကုလ,page-1
28,1,ကကူရံ,page-1
31,1,ကကေးအို,page-1
33,1,ကကောက်,page-1
34,1,ကကျင်း,page-1
35,1,ကကြီး,page-1
39,1,ကကြီးခခွေး,page-1
42,1,ကကြီးထွန်,page-1
43,1,ကကြိုး,page-1
52,1,ကကြိုးကကွက်,page-1
53,1,ကကြိုးတန်ဆာ,page-1
54,1,ကကြိုးတန်ဆာဆင်,page-1
55,1,ကကွက်,page-1
56,1,ကခုန်,page-1
57,2,ကချလာ,page-2
,2,ကချေ,page-2
59,2,ကခြေ,page-2
60,2,ကချေသဘင်,page-2
61,2,ကချေသည်,page-2
63,2,ကချော်ကချင်း,page-2
64,2,ကချော်ကချွတ်,page-2
68,2,ကချင်,page-2
70,2,ကချင်ပြည်နယ်,page-2
71,2,ကခြောက်,page-2
72,2,ကငေါက်,page-2
73,2,ကစ,page-2
74,2,ကစား,page-2
82,2,ကစားကွက်,page-2
83,2,ကစားကွင်း,page-2
84,2,ကစားခုန်စား,page-2
86,2,ကစားတိုင်,page-2
87,2,ကစားဝိုင်း,page-2
88,2,ကစိကစက်,page-2
91,2,ကစိကပက်,page-2
93,2,ကစီ,page-2
94,2,ကစီကရင်,page-2
95,2,ကစီတင်,page-2
96,2,ကစီရည်,page-2
97,2,ကစီးကနင်း,page-2
98,2,ကစု,page-2
100,2,ကစူးကဝါး,page-2
102,2,ကစဲကရီ,page-2
105,2,ကစဲကသီ,page-2
106,2,ကစော့,page-2
109,2,ကစော့ကြီး,page-2
110,2,ကစော့ခါး,page-2
111,2,ကစော်,page-2
112,2,ကစော်ပေါက်,page-2
113,2,ကစော်ဖောက်,page-2
114,2,ကစော်ဖတ်,page-2
115,2,ကစိုကရွား,page-2
116,2,ကစိုကဝါး,page-2
117,2,ကစောင်းမှောက်ပြန်,page-2
119,2,ကစစ်,page-2
120,2,ကစဉ့်ကပါး,page-2
121,2,ကစဉ့််ကရဲ,page-2
126,2,ကစဉ့်ကလျား,page-2
127,2,ကစဉ်ကရစ်,page-2
128,2,ကစဥ်း,page-2
130,2,ကစည်းကရည်း,page-2
131,2,ကစိန်းကလက်,page-2
133,2,ကစိန်းကဝါ,page-2
136,2,ကစမ်းကဝါး,page-2
138,2,ကစမ်းကသပ်,page-2
139,2,ကစွဲကစောင်း,page-2
141,2,ကစွန်း,page-2
142,2,ကဆုံ,page-2
145,3,ကဆစ်,page-3
146,3,ကဆုန်,page-3
148,3,ကဆုန်ချ,page-3
150,3,ကဆုန်စိုင်း,page-3
153,3,ကဆုန်ပေါက်,page-3
156,3,ကဆုန်ပြေး,page-3
157,3,ကဆွဲကငင်,page-3
158,3,ကဆွဲ့ကနွဲ့,page-3
159,3,ကဇာတ်,page-3
160,3,ကည,page-3
165,3,ကညဝယ,page-3
