id,book,par_num,level,class,title,text
NULL,p154,1,100,centered,," Namo tassa bhagavato arahato sammāsambuddhassa"
NULL,p154,2,100,nikaya,,Khuddakanikāye
NULL,p154,3,1,book,Khuddakapāṭhapāḷi,Khuddakapāṭhapāḷi
NULL,p154,4,2,chapter,"1. Saraṇattayaṃ","1. Saraṇattayaṃ"
NULL,p154,5,100,gatha1,,"Buddhaṃ  saraṇaṃ gacchāmi;"
NULL,p154,6,100,gatha2,,"Dhammaṃ saraṇaṃ gacchāmi;"
NULL,p154,7,100,gathalast,,"Saṅghaṃ saraṇaṃ gacchāmi."
NULL,p154,8,100,gatha1,,"Dutiyampi buddhaṃ saraṇaṃ gacchāmi;"
NULL,p154,9,100,gatha2,,"Dutiyampi dhammaṃ saraṇaṃ gacchāmi;"
NULL,p154,10,100,gathalast,,"Dutiyampi saṅghaṃ saraṇaṃ gacchāmi."
NULL,p154,11,100,gatha1,,"Tatiyampi  buddhaṃ saraṇaṃ gacchāmi;"
NULL,p154,12,100,gatha2,,"Tatiyampi dhammaṃ saraṇaṃ gacchāmi;"
NULL,p154,13,100,gathalast,,"Tatiyampi saṅghaṃ saraṇaṃ gacchāmi."
NULL,p154,14,100,centered,,"Saraṇattayaṃ [saraṇagamanaṃ niṭṭhitaṃ (syā.)] niṭṭhitaṃ."
NULL,p154,15,2,chapter,"2. Dasasikkhāpadaṃ","2. Dasasikkhāpadaṃ"
NULL,p154,16,100,bodytext,,"1. Pāṇātipātā veramaṇī-sikkhāpadaṃ [veramaṇīsikkhāpadaṃ (sī. syā.)] samādiyāmi."
NULL,p154,17,100,bodytext,,"2. Adinnādānā veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,18,100,bodytext,,"3. Abrahmacariyā  veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,19,100,bodytext,,"4. Musāvādā veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,20,100,bodytext,,"5. Surāmerayamajjapamādaṭṭhānā veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,21,100,bodytext,,"6. Vikālabhojanā veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,22,100,bodytext,,"7. Nacca-gīta-vādita-visūkadassanā veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,23,100,bodytext,,"8. Mālā-gandha-vilepana-dhāraṇa-maṇḍana-vibhūsanaṭṭhānā veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,24,100,bodytext,,"9. Uccāsayana-mahāsayanā veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,25,100,bodytext,,"10. Jātarūpa-rajatapaṭiggahaṇā  veramaṇī-sikkhāpadaṃ samādiyāmi."
NULL,p154,26,100,centered,,"Dasasikkhāpadaṃ [dasasikkhāpadaṃ niṭṭhitaṃ (syā.)] niṭṭhitaṃ."
NULL,p154,27,2,chapter,"3. Dvattiṃsākāro","3. Dvattiṃsākāro"
NULL,p154,28,100,bodytext,,"Atthi  imasmiṃ kāye –"
NULL,p154,29,100,gatha1,,"Kesā lomā nakhā dantā taco,"
NULL,p154,30,100,gatha2,,"Maṃsaṃ nhāru [nahāru (sī. pī.), nahārū (syā. kaṃ.)] aṭṭhi [aṭṭhī (syā. kaṃ)] aṭṭhimiñjaṃ vakkaṃ,"
NULL,p154,31,100,gatha3,,"Hadayaṃ yakanaṃ kilomakaṃ pihakaṃ papphāsaṃ,"
NULL,p154,32,100,gatha2,,"Antaṃ antaguṇaṃ udariyaṃ karīsaṃ matthaluṅgaṃ [( ) sabbattha natthi, aṭṭhakathā ca dvattiṃsasaṅkhyā ca manasi kātabbā],"
NULL,p154,33,100,gatha3,,"Pittaṃ semhaṃ pubbo lohitaṃ sedo medo,"
NULL,p154,34,100,gathalast,,"Assu vasā kheḷo siṅghāṇikā lasikā muttanti [muttaṃ, matthake matthaluṅganti (syā.)]."
NULL,p154,35,100,centered,,"Dvattiṃsākāro niṭṭhito."
NULL,p154,36,2,chapter,"4. Kumārapañhā","4. Kumārapañhā"
NULL,p154,37,100,bodytext,,"1. ‘‘Ekaṃ  nāma kiṃ’’? ‘‘Sabbe sattā āhāraṭṭhitikā’’."
NULL,p154,38,100,bodytext,,"2. ‘‘Dve nāma kiṃ’’? ‘‘Nāmañca rūpañca’’."
NULL,p154,39,100,bodytext,,"3. ‘‘Tīṇi nāma kiṃ’’? ‘‘Tisso vedanā’’."
NULL,p154,40,100,bodytext,,"4. ‘‘Cattāri  nāma kiṃ’’? ‘‘Cattāri ariyasaccāni’’."
NULL,p154,41,100,bodytext,,"5. ‘‘Pañca nāma kiṃ’’? ‘‘Pañcupādānakkhandhā’’."
NULL,p154,42,100,bodytext,,"6. ‘‘Cha nāma kiṃ’’? ‘‘Cha ajjhattikāni āyatanāni’’."
NULL,p154,43,100,bodytext,,"7. ‘‘Satta nāma kiṃ’’? ‘‘Satta bojjhaṅgā’’."
NULL,p154,44,100,bodytext,,"8. ‘‘Aṭṭha nāma kiṃ’’? ‘‘Ariyo aṭṭhaṅgiko maggo’’."
