id,book,par_num,level,class,title,text,author
NULL,160,3,1,title,Vimānavatthupāḷi,天宮事經,元亨寺
NULL,160,4,2,title,1. Itthivimānaṃ,一、 女人天宫,visuddhinanda
NULL,160,5,3,title,1. Pīṭhavaggo,一　椅子品,元亨寺
NULL,160,6,4,title,1. Paṭhamapīṭhavimānavatthu,一　椅子天宮,元亨寺
NULL,160,29,4,title,2. Dutiyapīṭhavimānavatthu,二　椅子天宮,元亨寺
NULL,160,52,4,title,3. Tatiyapīṭhavimānavatthu,三　椅子天宮,元亨寺
NULL,160,78,4,title,4. Catutthapīṭhavimānavatthu,四　椅子天宮,元亨寺
NULL,160,104,4,title,5. Kuñjaravimānavatthu,五　象天宮,元亨寺
NULL,160,142,4,title,6. Paṭhamanāvāvimānavatthu,六　船天宮,元亨寺
NULL,160,174,4,title,7. Dutiyanāvāvimānavatthu,七　船天宮,元亨寺
NULL,160,206,4,title,8. Tatiyanāvāvimānavatthu,八　船天宮,元亨寺
NULL,160,245,4,title,9. Dīpavimānavatthu,九　燈火天宮,元亨寺
NULL,160,277,4,title,10. Tiladakkhiṇavimānavatthu,一〇　胡麻供養天宮,元亨寺
NULL,160,303,4,title,11. Paṭhamapatibbatāvimānavatthu,一一　貞淑女天宮,元亨寺
NULL,160,329,4,title,12. Dutiyapatibbatāvimānavatthu,一二　第二貞淑女天宮,元亨寺
NULL,160,353,4,title,13. Paṭhamasuṇisāvimānavatthu,一三　嫁婦天宮,元亨寺
NULL,160,379,4,title,14. Dutiyasuṇisāvimānavatthu,一四　嫁婦天宮,元亨寺
NULL,160,405,4,title,15. Uttarāvimānavatthu,一五　欝多羅女天宮,元亨寺
NULL,160,444,4,title,16. Sirimāvimānavatthu,一六　師利摩女天宮,元亨寺
NULL,160,489,4,title,17. Kesakārīvimānavatthu,一七　結髮女天宮,元亨寺
NULL,160,518,3,title,2. Cittalatāvaggo,二　茲他拉他園品,元亨寺
NULL,160,519,4,title,1. Dāsivimānavatthu,一八　下婢天宮,元亨寺
NULL,160,569,4,title,2. Lakhumāvimānavatthu,一九　拉庫馬女天宮,元亨寺
NULL,160,604,4,title,3. Ācāmadāyikāvimānavatthu,二〇　飯泡施者天宮,元亨寺
NULL,160,639,4,title,4. Caṇḍālivimānavatthu,二一　旃陀羅女天宮,元亨寺
NULL,160,674,4,title,5. Bhadditthivimānavatthu,二二　巴第蒂伽女天宮,元亨寺
NULL,160,711,4,title,6. Soṇadinnāvimānavatthu,二三　蘇娜汀那女天宮,元亨寺
NULL,160,746,4,title,7. Uposathāvimānavatthu,二四　烏婆薩他女天宮,元亨寺
NULL,160,793,4,title,8. Niddāvimānavatthu,二五　蘇尼陀女天宮,元亨寺
NULL,160,823,4,title,9. Suniddāvimānavatthu,二六　蘇第因娜女天宮,元亨寺
NULL,160,841,4,title,10. Paṭhamabhikkhādāyikāvimānavatthu,二七　食施女天宮,元亨寺
NULL,160,858,4,title,11. Dutiyabhikkhādāyikāvimānavatthu,二八　二食施女天宮,元亨寺
NULL,160,881,3,title,3. Pāricchattakavaggo,三　晝度樹品,元亨寺
NULL,160,882,4,title,1. Uḷāravimānavatthu,二九　優天宮,元亨寺
NULL,160,914,4,title,2. Ucchudāyikāvimānavatthu,三〇　甘蔗天宮,元亨寺
NULL,160,950,4,title,3. Pallaṅkavimānavatthu,三一　臥臺天宮,元亨寺
NULL,160,981,4,title,4. Latāvimānavatthu,三二　拉達天女天宮,元亨寺
NULL,160,1016,4,title,5. Guttilavimānaṃ,三三　固蒂拉天宮,元亨寺
NULL,160,1301,4,title,6. Daddallavimānavatthu,三四　光輝天宮,元亨寺
NULL,160,1383,4,title,7. Pesavatīvimānavatthu,三五　闍沙瓦蒂女天宮,元亨寺
NULL,160,1421,4,title,8. Mallikāvimānavatthu,三六　摩利迦女天宮,元亨寺
NULL,160,1447,4,title,9. Visālakkhivimānavatthu,三七　廣目天宮,元亨寺
NULL,160,1492,4,title,10. Pāricchattakavimānavatthu,三八　晝度樹天宮,元亨寺
NULL,160,1526,3,title,4. Mañjiṭṭhakavaggo,四　深紅品,元亨寺
NULL,160,1527,4,title,1. Mañjiṭṭhakavimānavatthu,三九　深紅天宮,元亨寺
NULL,160,1553,4,title,2. Pabhassaravimānavatthu,四〇　極光天宮,元亨寺
NULL,160,1580,4,title,3. Nāgavimānavatthu,四一　象天宮,元亨寺
NULL,160,1600,4,title,4. Alomavimānavatthu,四二　阿羅瑪女天宮,元亨寺
NULL,160,1618,4,title,5. Kañjikadāyikāvimānavatthu,四三　酸粥施者天宮,元亨寺
NULL,160,1647,4,title,6. Vihāravimānavatthu,四四　精舍天宮,元亨寺
NULL,160,1728,4,title,7. Caturitthivimānavatthu,四五　四女人天宮,元亨寺
NULL,160,1768,4,title,8. Ambavimānavatthu,四六　菴婆天宮,元亨寺
NULL,160,1797,4,title,9. Pītavimānavatthu,四七　金色天宮,元亨寺
NULL,160,1838,4,title,10. Ucchuvimānavatthu,四八　甘蔗天宮,元亨寺
NULL,160,1874,4,title,11. Vandanavimānavatthu,四九　禮拜天宮,元亨寺
NULL,160,1889,4,title,12. Rajjumālāvimānavatthu,五〇　拉鳩瑪拉女天宮,元亨寺
NULL,160,1992,2,title,2. Purisavimānaṃ,二、男人天宫,visuddhinanda
NULL,160,1993,3,title,5. Mahārathavaggo,五　大事品,元亨寺
NULL,160,1994,4,title,1. Maṇḍūkadevaputtavimānavatthu,五一　蛙天宮,元亨寺
NULL,160,2008,4,title,2. Revatīvimānavatthu,五二　雷瓦提女天宮,元亨寺
NULL,160,2088,4,title,3. Chattamāṇavakavimānavatthu,五三　洽答青年天宮,元亨寺
NULL,160,2165,4,title,4. Kakkaṭakarasadāyakavimānavatthu,五四　蟹味施者天宮,元亨寺
NULL,160,2192,4,title,5. Dvārapālavimānavatthu,五五　守門者天宮,元亨寺
NULL,160,2210,4,title,6. Paṭhamakaraṇīyavimānavatthu,五六　所應作天宮,元亨寺
NULL,160,2231,4,title,7. Dutiyakaraṇīyavimānavatthu,五七　第二所應作天宮,元亨寺
NULL,160,2252,4,title,8. Paṭhamasūcivimānavatthu,五八　針天宮,元亨寺
