id,book,par_num,100,class,title,text,author
NULL,94,3,1,book,Mahāvaggapāḷi,大品,庄春江
NULL,94,4,2,chapter,1. Mahāpadānasuttaṃ,14、譬喻大经,庄春江
NULL,94,5,4,subhead,Pubbenivāsapaṭisaṃyuttakathā,与前世住处有关的谈说,庄春江
NULL,94,38,4,subhead,Bodhisattadhammatā,菩萨常法,庄春江
NULL,94,55,4,subhead,Dvattiṃsamahāpurisalakkhaṇā,三十二大丈夫相,庄春江
NULL,94,91,4,subhead,Vipassīsamaññā,毗婆尸的称呼,庄春江
NULL,94,99,4,subhead,Jiṇṇapuriso,老年人,庄春江
NULL,94,104,4,subhead,Byādhitapuriso,病人,庄春江
NULL,94,110,4,subhead,Kālaṅkatapuriso,死人,庄春江
NULL,94,115,4,subhead,Pabbajito,出家,庄春江
NULL,94,119,4,subhead,Bodhisattapabbajjā,菩萨出家,庄春江
NULL,94,121,4,subhead,Mahājanakāyaanupabbajjā,大群众跟随出家,庄春江
NULL,94,125,4,subhead,Bodhisattaabhiniveso,菩萨-上安住,庄春江
NULL,94,153,4,subhead,Brahmayācanakathā,梵天劝请的谈说,庄春江
NULL,94,185,4,subhead,Aggasāvakayugaṃ,最上双弟子,庄春江
NULL,94,192,4,subhead,Mahājanakāyapabbajjā,大群众的出家,庄春江
NULL,94,197,4,subhead,Purimapabbajitānaṃ dhammābhisamayo,最初出家者的现观,庄春江
NULL,94,202,4,subhead,Cārikāanujānanaṃ,允许游行,庄春江
NULL,94,219,4,subhead,Devatārocanaṃ,天神的告示,庄春江
NULL,94,229,2,chapter,2. Mahānidānasuttaṃ,15、大因缘经,庄春江
NULL,94,230,4,subhead,Paṭiccasamuppādo,缘起,庄春江
NULL,94,261,4,subhead,Attapaññatti,真我之安立,庄春江
NULL,94,267,4,subhead,Naattapaññatti,真我之不安立,庄春江
NULL,94,273,4,subhead,Attasamanupassanā,真我之认为,庄春江
NULL,94,280,4,subhead,Satta viññāṇaṭṭhiti,七识住,庄春江
NULL,94,283,4,subhead,Aṭṭha vimokkhā,（暂缺）,庄春江
NULL,94,287,2,chapter,3. Mahāparinibbānasuttaṃ,16、大般涅槃经,庄春江
NULL,94,290,4,subhead,Vassakārabrāhmaṇo,作雨者婆罗门,庄春江
NULL,94,292,4,subhead,Rājaaparihāniyadhammā,国王-不衰退法,庄春江
NULL,94,303,4,subhead,Bhikkhuaparihāniyadhammā,比丘-不衰退法,庄春江
