Date : 2020-11-22 22:27:11
Directory : c:\mysoft\Ampps\www\mint\app
Total : 1888 files,  1117371 codes, 188215 comments, 46391 blanks, all 1351977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        807 |    389,598 |    171,640 |     29,236 |    590,474 |
| PHP        |        560 |    329,122 |     12,318 |     10,956 |    352,396 |
| CSV        |         19 |    242,791 |          0 |          9 |    242,800 |
| CSS        |        168 |     64,343 |      3,429 |      4,023 |     71,795 |
| JSON       |         27 |     37,198 |          0 |         18 |     37,216 |
| Excel      |         29 |     28,763 |          0 |        140 |     28,903 |
| HTML       |         41 |     13,508 |        186 |        658 |     14,352 |
| XML        |        193 |      7,408 |        105 |        174 |      7,687 |
| SQL        |         27 |      2,000 |        422 |        713 |      3,135 |
| SCSS       |          6 |      1,278 |        115 |        183 |      1,576 |
| Markdown   |          9 |        865 |          0 |        280 |      1,145 |
| Log        |          1 |        496 |          0 |          1 |        497 |
| YAML       |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |      1,888 |  1,117,371 |    188,215 |     46,391 |  1,351,977 |
| admin                                                                                                                                      |          1 |        141 |          0 |         18 |        159 |
| article                                                                                                                                    |         23 |      1,887 |         25 |        204 |      2,116 |
| calendar                                                                                                                                   |         56 |     23,093 |      1,303 |      4,617 |     29,013 |
| calendar\Almanac v2.0_files                                                                                                                |          4 |      5,938 |        392 |        542 |      6,872 |
| calendar\js                                                                                                                                |          3 |      1,929 |         98 |        852 |      2,879 |
| calendar\lib                                                                                                                               |          3 |        342 |        102 |         84 |        528 |
| calendar\planet_position                                                                                                                   |         20 |      3,941 |        226 |      1,719 |      5,886 |
| calendar\planet_position\js                                                                                                                |          3 |      1,929 |         98 |        852 |      2,879 |
| calendar\planet_position\src                                                                                                               |         10 |        962 |         53 |        123 |      1,138 |
| calendar\planet_position\vendor                                                                                                            |          3 |        936 |         42 |        723 |      1,701 |
| calendar\planet_position\vendor\three                                                                                                      |          3 |        936 |         42 |        723 |      1,701 |
| calendar\planet_position\vendor\three\math                                                                                                 |          3 |        936 |         42 |        723 |      1,701 |
| calendar\src                                                                                                                               |         10 |        962 |         53 |        123 |      1,138 |
| calendar\test                                                                                                                              |          1 |        133 |         14 |         20 |        167 |
| calendar\vendor                                                                                                                            |          3 |        936 |         42 |        723 |      1,701 |
| calendar\vendor\three                                                                                                                      |          3 |        936 |         42 |        723 |      1,701 |
| calendar\vendor\three\math                                                                                                                 |          3 |        936 |         42 |        723 |      1,701 |
| channal                                                                                                                                    |         10 |        518 |         29 |         64 |        611 |
| collect                                                                                                                                    |          3 |        224 |          2 |         18 |        244 |
| course                                                                                                                                     |         23 |      1,283 |         15 |        252 |      1,550 |
| dict                                                                                                                                       |         24 |     10,203 |        141 |        365 |     10,709 |
| dict\css                                                                                                                                   |          2 |        102 |          0 |         18 |        120 |
| dict\js                                                                                                                                    |          1 |        255 |          1 |         36 |        292 |
| dict\language                                                                                                                              |         16 |      8,431 |         16 |        187 |      8,634 |
| dict_builder                                                                                                                               |         10 |      1,360 |         43 |        134 |      1,537 |
| dict_builder\js                                                                                                                            |          2 |        444 |          4 |         53 |        501 |
| doc                                                                                                                                        |         11 |      1,199 |         94 |        127 |      1,420 |
| fileindex                                                                                                                                  |          1 |         52 |          0 |          9 |         61 |
